exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	val_bpb	delta_vs_best	artifact_bytes	train_s	eval_s	total_s	job_name	snapshot_path	notes
000	2026-05-01T03:55:39Z	baseline			baseline	PR #1758 seed (CaseOps + PreQuant TTT LR=1e-3 Unfrozen, 3-seed claim)	0	baseline	1.081000								seed / PR #1758 reference
001	2026-05-01T04:20:59Z	curr	000	000	curr	Short-to-long seq-len curriculum: train at seq_len=1024 for first 25% of wallclock, then step to 2048 — enables ~2.5x faster early steps (quadratically cheaper attention) yielding ~35% more optimizer steps in the same 600s budget, aligned with SkyLadder-style context-window scheduling gains.	-0.005	crash						858.000000	apga-curr-0001		One extra torch.compile invocation for [B=96,T=1024] shape at training start; warmup pre-caches [B=48,T=2048]; transition at frac=0.25 reuses cached 2048 graph. seqlen_start=1024, seqlen_ramp_end_frac=0.25. Loop activation at frac=0.35 is after transition so looping always runs at full 2048 context. | torch.distributed.elastic.multiprocessing.errors.ChildFailedError: ============================================================ (train_gpt.py:1147 in eval_val)
002	2026-05-01T04:25:38Z	quant	000	000	quant	Frequency-weighted GPTQ Hessian: pre-collect calibration batches, count token frequencies, give top-100 most-frequent tokens sqrt(2) activation scaling so their contribution to H=X^T X is 2x larger, biasing GPTQ error compensation toward the tokens that dominate BPB.	-0.003	keep	1.079188	-0.001812	15990719	600.047000	594.200000	1462.000000	apga-quan-0001	snapshots/002_quant	Port of FreqGPTQ from PR #1721 (technique-donor only, not rebased). No architectural changes. Calibration loop restructured: first pass collects all 64 batches + counts token frequencies; second pass (same batches) runs forward with freq-weighted hooks. Top-100 token sqrt(2) boost gives 2x Hessian weight. Zero artifact size impact.
003	2026-05-01T04:26:35Z	reg	000	002	reg	Split Muon weight decay by parameter type: attn matrices keep muon_wd=0.095, MLP matrices raised to muon_wd_mlp=0.115, applying stronger regularization where MLP layers benefit more from it.	-0.003	eval_budget_overrun	1.080205			600.041000	603.400000	1505.000000	apga-reg-0001		classify_param() already in codebase; split attn_matrix_params/mlp_matrix_params into two Muon param groups. Two allreduce calls instead of one but overhead minimal. Prior lineage had this as a keep (exp_164). MLP WD=0.115 > attn WD=0.095 aligns with AlphaDecay insight: lighter-tailed MLP spectra benefit from stronger regularization.
004	2026-05-01T04:26:35Z	arch	000	002	arch	ResFormer value-residual: layer-0 V mixed at fixed 0.5 into V of every later attention (zero added params, residual-topology change).	-0.005	size_blocked	1.081633		16001408	600.159000	599.600000	1473.000000	apga-arch-0001		arxiv 2410.17897 (Zhou et al, ResFormer). Threaded v_first through Block.forward / GPT.forward_logits; v is blended INSIDE attention only, raw V is exported unchanged so v_first stays = layer-0's pristine V. Fixed 0.5 weighting per paper. Compatible with GQA (v shape [B,T,4,64] both sides). Layer 0 sees v_first=None → no blend → identity. Depth recurrence: block 0 is called only once in either looped/non-looped mode, so v_first is set exactly once. fullgraph compile traces both branches via Python-side type dispatch, validated by syntax_check.
005	2026-05-01T04:26:59Z	meta	000	002	meta	Raise TTT cosine LR floor from 0 to 0.5*ttt_lr so late chunks still adapt at 50% of peak instead of decaying to ~0.	-0.002	keep	1.079067	-0.000121	15992024	600.072000	593.300000	1459.000000	apga-meta-0001	snapshots/005_meta	Half-amplitude cosine TTT schedule. Motivated by LaCT (arxiv 2505.23884) and Beyond Cosine Decay (arxiv 2503.02844). Compute cost identical.
006	2026-05-01T04:27:22Z	opt	000	005	opt	Split Muon into two param groups — attention matrices use muon_wd=0.095, MLP matrices use muon_wd_mlp=0.115 — restoring the multi_596 regularization split that was absent from the PR#1758 seed.	-0.004	eval_budget_overrun	1.080069			600.101000	603.600000	1511.000000	apga-opt-0001		The multi_596 baseline (val_bpb≈1.072) used split MLP weight decay (muon_wd=0.095 attn, muon_wd_mlp=0.115 MLP). The PR#1758 seed drops this split, using flat muon_wd=0.095 everywhere. MLP matrices tend to memorize more aggressively in short-budget training; higher WD for MLP provides additional regularization. Implementation: split block_named_params into attn_matrix_params and mlp_matrix_params, pass two Muon param groups with per-group weight_decay.
007	2026-05-01T04:29:47Z	ttt	000	005	ttt	Replace global SGD optimizer with fresh-per-chunk AdamW (betas=(0.9,0.95), wd=0.01) in TTT loop to get clean per-document adaptive step sizes and prevent momentum bleed-over between heterogeneous val chunks.	-0.004	eval_budget_overrun	1.080081			600.071000	603.200000	1513.000000	apga-ttt-0001		AdamW's bias-corrected first step is effectively sign-SGD (scale-invariant), which converges faster in the 3-epoch per-chunk regime. Resetting per chunk avoids SGD momentum carrying over from a previous document's content, which is harmful when val chunks span heterogeneous documents. Weight decay 0.01 provides mild drift prevention. Cosine LR decay over chunks preserved as the initial LR for each fresh optimizer.
008	2026-05-01T04:29:56Z	eval	000	005	eval	Replace cosine LR decay in TTT with flat LR (h.ttt_lr throughout all chunks) so later chunks get equal adaptation budget instead of near-zero LR.	-0.003	eval_budget_overrun	1.080339			600.069000	603.800000	1515.000000	apga-eval-0001		Current cosine schedule: LR drops from ttt_lr=0.005 to ~0 over chunks. The last ~40% of chunks adapt at tiny LR even though SGD momentum buffer persists and could carry useful update directions. Flat LR ensures every chunk receives equal adaptation; since FineWeb val is approximately IID, no catastrophic forgetting expected. Computation is identical (same epochs, same chunks). Removes the import of math.cos from the adaptation path (math already imported). No eval wall change expected.
009	2026-05-01T04:31:08Z	tok	000	005	tok	Add word-position embedding (4 entries, shape [4,512]) that encodes within-word BPE subword depth (0=word-start, 1=2nd subword, 2=3rd, 3=4th+) computed via torch.cummax on SP leading-space mask, added to token embeddings before RMSNorm.	-0.003	eval_budget_overrun	1.083455			600.049000	604.000000	1510.000000	apga-tok-0001		word_pos_emb has 2048 float16 params (numel<65536 → passthrough float16 in GPTQ, no Hessian needed). word_start_mask registered as persistent=False buffer (not in state_dict). Added to tok_params AdamW group with tied_embed_lr. Morphological within-word position is a structured signal absent from unigram tok_emb that should improve BPB.
010	2026-05-01T04:33:33Z	loss	000	005	loss	Add deep supervision auxiliary LM loss (coef=0.1) at encoder-decoder boundary: projects encoder final hidden state through tied embeddings to give direct language-modeling gradient signal to early layers, improving gradient flow for the undertrained model without any new artifact parameters.	-0.003	eval_budget_overrun	1.089888			600.064000	603.100000	1515.000000	apga-loss-0001		forward() is restructured to inline encoder/decoder (forward_logits unchanged for eval compilation). Aux head uses F.rms_norm + tied embeddings + softcap. No new params, training-only signal. Coefficient 0.1 keeps aux gradient 10x weaker than main.
011	2026-05-01T04:35:55Z	arch	005	005	arch	Learnable per-layer ResFormer V-residual: each block adds nn.Parameter scalar v_alpha; v <- sigmoid(v_alpha)*V_1 + (1-sigmoid(v_alpha))*V_n with v_alpha init=0 (sigmoid=0.5).	-0.003	crash						26.000000	apga-arch-0011		exp_004 used Identity-ResFormer (fixed 0.5) and was within seed noise of baseline (1.0816 vs 1.0810) but artifact size_blocked. The ResFormer paper (arxiv 2410.17897v5, Table 3) shows Identity-RF=2.712 vs Learnable-RF=2.705 vs RF-Plus=2.681 val_loss on 82M; learnable per-layer mixing alone delivered ~0.007 nats over fixed. Per-layer alpha is one fp32 scalar per block (11 floats total — negligible) so artifact size risk is minimized. Implementation: v_first chains the raw V from block 0 forward through encoder+decoder iters (consistent with looped-recurrence path since block 0 still fires first); v_raw exported BEFORE blending so V_1 stays pristine. Init at 0 gives equal mix start (paper-recommended); model can ramp alpha up (later layers want more V_1 per the paper) or down per layer. Sigmoid keeps mix in [0,1] for stability. | torch.distributed.elastic.multiprocessing.errors.ChildFailedError: ============================================================ (train_gpt.py:1412 in step_fn)
