exp_id	parent_exp	depth	path	specialist	status	train_s	delta_vs_best	hypothesis
000		0	000	baseline	baseline	26.356000		calibrated baseline (1 trial, avg=26.356000)
001	000	1	000/001	arch	disqualified			Reduce block3 width 512→384 (~30% fewer FLOPs in final stage) + halve proxy widths 32/64/64→16/32/32 (~4× proxy speedup); both changes together target ~1–1.5s savings while main model retains sufficient capacity for ≥96% accuracy.
002	000	1	000/002	loss	disqualified			label_smoothing 0.2→0.1 (sharper CE targets) + train_epochs 45→44: one fewer epoch saves ~0.6s/seed; sharper targets provide cleaner gradient signal to compensate for reduced training time
003	000	1	000/003	aug	disqualified			Skip all 45 per-epoch intermediate val_acc evaluations (logging-only, tta_level=0; final accuracy comes from TTA eval). Removes 45×5=225 forward passes per seed, saving ~0.5–0.7 s/seed with zero accuracy cost.
004	000	1	000/004	opt	disqualified			train_epochs 45→43 + lr 9→11 (compensates convergence, validated in prior backup run at 0.9603 accuracy) + skip 43 intermediate non-TTA evals (saves ~1.7s/seed; evals are read-only logging and don't affect training or final TTA accuracy)
005	000	1	000/005	arch	disqualified			Halve proxy model widths 32/64/64→16/32/32 (~4× fewer proxy FLOPs); main model stays at 128/384/512 so accuracy is unaffected. Proxy trains same 45 epochs collecting masks, just with a 4× smaller model → saves proxy training time with zero capacity impact on the final classifier.
006	000	1	000/006	loss	disqualified			train_epochs 45→44 with label_smoothing=0.2 unchanged: pure epoch reduction saves ~0.6s/seed; ls=0.2 regularization retained to preserve the accuracy margin lost when combined with ls=0.1
007	000	1	000/007	aug	keep	26.131300	-0.224700	train_epochs 45→46 (one extra epoch to push accuracy above 96% gate: baseline achieves ~95.94% on our GPU) + skip 46 per-epoch val_acc evals (logging-only). Net: extra epoch costs ~0.31s, eval-skip saves ~0.55s → ~0.24s faster than baseline while clearing the acc gate.
012	007	2	000/007/012	aug	disqualified			Add within-batch mixup (λ~Uniform[0.5,1.0]) to main training loop + reduce train_epochs 46→45: mixup improves per-epoch generalization to recover the ~0.06% gap at 45 epochs, saving ~0.55s vs exp_007
008	000	1	000/008	opt	keep	25.436900	-0.694400	train_epochs 45→44 + lr 9→11 + skip 44 intermediate non-TTA evals: exp_004 (43ep) was disqualified at 0.9596 (0.0004 below gate); +1 epoch recovers accuracy while eval-skip saves ~1.7s/seed net
011	008	2	000/008/011	opt	discard	25.460300	+0.023400	train_epochs 44→43 + lr 11→12: exp_004 (43ep+lr=11) missed gate by 0.0004 (mean_acc=0.9596); +9% lr should bridge gap while saving ~0.55s vs exp_008
015	008	2	000/008/015	loss	disqualified			43 epochs + lr=11 + label-smoothing annealing (0.2→0.0 over last 25% of steps): exp_004 (43ep+lr=11, no loss change) was disqualified at 95.96%; annealing sharpens targets in last ~10 epochs to recover the ~0.04% accuracy gap while saving ~0.57s vs exp_008.
017	008	2	000/008/017	aug	disqualified			cutout 12→8 + train_epochs 44→43: exp_004 (43ep+lr=11+cutout=12) missed gate by 0.0004; smaller cutout (25% vs 37% pixel masking) gives cleaner gradient signal per example, aiming to close that gap while saving ~0.35s vs exp_008
018	008	2	000/008/018	opt	disqualified			43 epochs + lr=12 + cosine decay (replace linear cooldown with 0.5*(1+cos(π·progress))): cosine keeps lr higher mid-training for better convergence margin above 0.96 gate; 1 fewer epoch than exp_008 should save ~0.35s wall-clock
019	008	2	000/008/019	arch	disqualified			Stage-1 ConvGroup depth 3→2: remove conv3+norm3+residual from block1 (128ch, 15×15 maps) while keeping stages 2/3 at depth=3. Block1 learns low-level features where the extra residual depth is least critical; stages 2/3 (384/512ch) keep full depth for high-level representation. Rebased from exp_008 (44ep, lr=11, skip evals, max-autotune).
020	008	2	000/008/020	loss	discard	25.590800	+0.153900	43 epochs + lr=11 + PolyLoss ε=0.5: exp_004 (43ep+lr=11) missed gate by 0.0004; PolyLoss-1 with conservative ε=0.5 adds gentle hard-example gradient (1-p_t) to bridge the gap without the destabilisation that ε=1.0 caused in exp_009.
022	008	2	000/008/022	opt	disqualified			train_epochs 44→42 + lr 11→14 (linear decay preserved): 2 fewer epochs saves ~0.62s wall-clock; +3lr compensates convergence (pattern from data: 45→44 needed +2lr, 44→43 needed +1lr, so 43→42 needs ~+1–2lr; using +2 for safety margin)
023	008	2	000/008/023	aug	disqualified			cutout 12→16 + train_epochs 44→43: 43ep+cutout=12 missed gate by 0.0004 (exp_004); larger cutout (25% pixel masking vs 14%) forces stronger generalization that may bridge the gap, saving ~0.55s vs current best
024	008	2	000/008/024	arch	disqualified			Stage-1 depth 3→2 + lr 11→12: compensate accuracy loss from shallower block1 with higher LR. exp_019 (same arch, lr=11) disqualified at acc=0.9596 — missed gate by 0.00045. exp_011 (full-depth, 43ep, lr=12) passed gate. This combo: 44ep + lr=12 + stage1 depth=2 should recover accuracy while keeping the ~0.6s wall-clock saving from removing the stage-1 residual conv.
025	008	2	000/008/025	loss	disqualified			42 epochs + lr=11 + PolyLoss ε=1.0: exp_020 showed 43ep+PolyLoss ε=0.5 passes gate at acc=0.9601 (+0.0005 buffer); doubling ε to 1.0 and removing 1 more epoch should maintain accuracy while netting ~0.55s saving over exp_008 (2-epoch reduction minus PolyLoss compute overhead).
027	008	2	000/008/027	opt	disqualified			train_epochs 44→43 + lr 11→13: exp_011 (43ep+lr=12) barely passed gate at ~0.9600; +1lr to 13 gives ~+0.0004 acc headroom above gate while preserving the 1-epoch speed saving
028	008	2	000/008/028	aug	disqualified			TTA level 2→1 + cutout 12→14 on 44 epochs: reduce mirror+translate (6 forward passes) to mirror-only (2 passes) at eval, saving ~0.25s; increase cutout from 12→14 to compensate accuracy loss from weaker TTA.
029	008	2	000/008/029	arch	disqualified			Stage-3 ConvGroup depth 3→2: removes conv3+norm3+residual from block3 (512ch, 3×3 maps) saving ~5% training FLOPs; block1/block2 unchanged at depth=3. Only block1 depth reduction was tried before (exp_019, disqualified); block3 at 3×3 spatial is less critical spatially.
031	008	2	000/008/031	loss	disqualified			43ep + lr=11 + PolyLoss ε=1.0: exp_020 (43ep+ε=0.5) passed gate at acc=0.9601 but measured 25.59s (within noise of 25.44s best); exp_025 (42ep+ε=1.0) showed ε=1.0 is stable at lr=11 but needs one more epoch; 43ep+ε=1.0 targets more accuracy buffer than ε=0.5 at 43ep, with ~0.5s savings vs 44ep
032	008	2	000/008/032	opt	disqualified			proxy_epochs=10 (vs 44): proxy trains for 10 epochs and masks are cycled across all 44 main training steps — proxy at 10ep is already ~93%+ accurate for hard-example selection; the extra 34 proxy epochs are marginal and cost ~4s wall-clock
033	008	2	000/008/033	opt	disqualified			proxy_epochs=30 (vs 44): reduces mask cycling factor from 4.4x (10ep, acc=0.954) to 1.47x; linear extrapolation predicts acc drop ~0.001 → ~0.960; saves ~1.75s proxy time vs exp_008
035	008	2	000/008/035	aug	disqualified			CutMix (box=12px, alpha≈0.14) replaces cutout at 43 epochs + lr=12: cutout disabled in data loader, CutMix applied in training loop with mixed-label loss; stronger regularization vs cutout should maintain ≥96% accuracy at 43ep (exp_011 confirmed 43ep+lr=12 passes gate), saving ~0.4s vs exp_008
009	000	1	000/009	loss	disqualified			PolyLoss (CE + 1.0*(1-p_t), ICLR 2022) + label_smoothing=0.2 + train_epochs=44: extra hard-example gradient focus should recover the ~0.06% accuracy gap seen at 44 epochs pure CE (exp_006 was 0.960000 raw but just below gate)
010	000	1	000/010	reg	disqualified			ModelEMA (decay=0.9990, updated every 5 steps tracking post-lookahead weights) applied at final TTA eval + train_epochs 45→43: EMA smooths late-training weight noise to compensate for 2 fewer epochs.
013	000	1	000/013	reg	disqualified			ModelEMA (decay=0.9990, every-5-step update tracking post-lookahead weights) + train_epochs 45→43: EMA init moved to AFTER init_whitening_conv so whitening weights are correct in EMA clones.
014	000	1	000/014	arch	disqualified			Revert proxy widths to baseline (32/64/64) and switch torch.compile mode from max-autotune to reduce-overhead: reduces per-seed JIT compile cost via CUDA graphs instead of kernel benchmarking; all input shapes are static so CUDA graph capture is clean.
