exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	train_s	accuracy	acc_std	n_seeds	delta_vs_best	total_s	job_name	snapshot_path	notes
000	2026-04-28T06:21:17Z	baseline			baseline	calibrated baseline (1 trial, avg=26.356000)	0	baseline	26.356000								airbench96 baseline reference (strict: min train_s s.t. mean_acc(n=10) ≥ 0.96)
001	2026-04-28T12:56:25Z	arch	000	000	arch	Reduce block3 width 512→384 (~30% fewer FLOPs in final stage) + halve proxy widths 32/64/64→16/32/32 (~4× proxy speedup); both changes together target ~1–1.5s savings while main model retains sufficient capacity for ≥96% accuracy.	-1.2	disqualified		0.957590	0.001607	10		25.302200	cif-arch-0001		
002	2026-04-28T12:57:39Z	loss	000	000	loss	label_smoothing 0.2→0.1 (sharper CE targets) + train_epochs 45→44: one fewer epoch saves ~0.6s/seed; sharper targets provide cleaner gradient signal to compensate for reduced training time	-0.6	disqualified		0.959670	0.000979	10		26.683000	cif-loss-0001		airbench94 uses label_smoothing=0.1; the step to 0.2 in 96 adds regularization for the harder target but may be recoverable with the same aug strength at 44 epochs. Edit: hyp['opt']['train_epochs'] 45.0→44.0, hyp['opt']['label_smoothing'] 0.2→0.1.
003	2026-04-28T13:03:06Z	aug	000	000	aug	Skip all 45 per-epoch intermediate val_acc evaluations (logging-only, tta_level=0; final accuracy comes from TTA eval). Removes 45×5=225 forward passes per seed, saving ~0.5–0.7 s/seed with zero accuracy cost.	-0.55	disqualified		0.959390	0.001159	10		26.034400	cif-aug-0001		All prior child experiments of exp_000 were preflight_crash (likely environment issue). This is a minimal, safe change: one line replaced (val_acc = evaluate(...) → val_acc = None). No new imports, no new parameters, no aug parameter changes. The per-epoch val_acc is purely for console logging and does not affect training or final accuracy. The wall-clock saving comes from eliminating 45×5 tta_level=0 forward passes on the 10k test set.
004	2026-04-28T13:06:49Z	opt	000	000	opt	train_epochs 45→43 + lr 9→11 (compensates convergence, validated in prior backup run at 0.9603 accuracy) + skip 43 intermediate non-TTA evals (saves ~1.7s/seed; evals are read-only logging and don't affect training or final TTA accuracy)	-2.0	disqualified		0.959550	0.001089	10		25.346400	cif-opt-0002		Backup data from workdir_opt shows 43ep+lr=11.0 achieves mean_acc=0.9603 across 10 seeds. Per-seed shell_elapsed was ~27.6s (WITH intermediate evals). Skipping 43 intermediate evaluate() calls saves ~1.7s (each call ~40ms on 10K test images). Combined with 2 fewer training epochs (~0.46s), expected total saving ~2.1s per seed → ~25.5s vs 26.356s baseline.
005	2026-04-28T13:11:27Z	arch	000	000	arch	Halve proxy model widths 32/64/64→16/32/32 (~4× fewer proxy FLOPs); main model stays at 128/384/512 so accuracy is unaffected. Proxy trains same 45 epochs collecting masks, just with a 4× smaller model → saves proxy training time with zero capacity impact on the final classifier.	-0.8	disqualified		0.957440	0.001264	10		26.064700	cif-arch-0003		
006	2026-04-28T13:11:42Z	loss	000	000	loss	train_epochs 45→44 with label_smoothing=0.2 unchanged: pure epoch reduction saves ~0.6s/seed; ls=0.2 regularization retained to preserve the accuracy margin lost when combined with ls=0.1	-0.6	disqualified		0.960000	0.000908	10		26.986200	cif-loss-0003		Prior trial (44ep+ls=0.1) was disqualified at 95.97% — 0.03% below gate. Restoring ls=0.2 should recover that margin while keeping the epoch saving.
007	2026-04-28T13:15:15Z	aug	000	000	aug	train_epochs 45→46 (one extra epoch to push accuracy above 96% gate: baseline achieves ~95.94% on our GPU) + skip 46 per-epoch val_acc evals (logging-only). Net: extra epoch costs ~0.31s, eval-skip saves ~0.55s → ~0.24s faster than baseline while clearing the acc gate.	-0.24	keep	26.131300	0.960220	0.000761	10	-0.224700	26.131300	cif-aug-0004	snapshots/007_aug	Exp_003 revealed the baseline recipe only achieves mean_acc=95.94% on our GPU harness (acc_std=0.0012, n=10). Confirmed: intermediate val_acc evals are pure logging with zero accuracy impact. To clear the 96% gate, added 1 training epoch (45→46). The eval-skip (45×5→0 forward passes/seed on test set) saves ~0.55s. The extra epoch costs ~0.31s. Net delta vs baseline: ~-0.24s with accuracy expected at ~96.05-96.15%.
008	2026-04-28T13:19:59Z	opt	000	007	opt	train_epochs 45→44 + lr 9→11 + skip 44 intermediate non-TTA evals: exp_004 (43ep) was disqualified at 0.9596 (0.0004 below gate); +1 epoch recovers accuracy while eval-skip saves ~1.7s/seed net	-0.8	keep	25.436900	0.960150	0.001199	10	-0.694400	25.436900	cif-opt-0005	snapshots/008_opt	exp_004 showed total_s=25.346s (1.01s faster than 26.356 baseline) but accuracy=0.9596 (just below 0.96). Adding 1 epoch (+0.23s) should push accuracy above threshold. Expected: ~25.6s, ~0.76s better than baseline.
009	2026-04-28T13:23:48Z	loss	000	008	loss	PolyLoss (CE + 1.0*(1-p_t), ICLR 2022) + label_smoothing=0.2 + train_epochs=44: extra hard-example gradient focus should recover the ~0.06% accuracy gap seen at 44 epochs pure CE (exp_006 was 0.960000 raw but just below gate)	-0.6	disqualified		0.959080	0.001212	10		26.707400	cif-loss-0007		exp_006 (44ep+ls=0.2) scored acc=0.960000 but was disqualified (raw float ~0.95999). PolyLoss adds eps*(1-p_t) to CE in the main masked training loop only; proxy loss unchanged. poly_eps=1.0 chosen per ICLR 2022 paper defaults.
