exp_id	parent_exp	depth	path	specialist	status	val_bpb	delta_vs_best	hypothesis
000		0	000	baseline	baseline	1.081000		PR #1758 seed (CaseOps + PreQuant TTT LR=1e-3 Unfrozen, 3-seed claim)
001	exp_000	0	001	meta	eval_budget_overrun	1.081851		Lower muon_momentum_warmup_start from 0.92 to 0.85, matching the canonical modded-nanogpt recipe; keeps final momentum 0.99 and 0.33 warmup duration intact. Mechanism: early high momentum (0.92) over-smooths the informative early-training gradient signal during the high-LR phase; starting at 0.85 lets the model adapt faster in the first ~10% of the budget while still saturating to 0.99 well before warmdown.
002	exp_000	0	002	reg	eval_budget_overrun	1.080267		Split Muon weight decay into attn (0.095) vs MLP (0.115) param groups, targeting stronger L2 regularization on MLP matrices which have 2× more parameters per block and are more prone to overfitting in short training runs.
003	exp_000	0	003	eval	eval_budget_overrun	1.080571		Replace cosine LR decay across TTT chunks with constant LR (h.ttt_lr=0.005 throughout), eliminating near-zero adaptation in later chunks which the cosine schedule reduces to ~0.001% of full LR by chunk 90/122.
004	exp_000	0	004	ttt	eval_budget_overrun	1.080521		Switch TTT optimizer from SGD (lr=0.005, momentum=0.9) to AdamW (lr=0.001, betas=(0.9,0.999), wd=0) to leverage adaptive gradient normalization in the ~3-step-per-chunk regime where Adam's second-moment immediately normalizes gradient scale without needing warmup steps.
005	exp_000	0	005	arch	eval_budget_overrun	1.081088		Add per-head sigmoid output gate to attention (init logit(0.95)≈2.944 for near-identity start), placed after XSA before reshape — lightweight form of NeurIPS 2025 "Gated Attention" (arXiv:2505.06708, also adopted in Qwen3-Next), introducing a bounded non-linearity on the SDPA output.
006	exp_000	0	006	tok	eval_budget_overrun	1.081035		Add learnable per-feature embedding scale (embed_scale, shape=[embedding_dim], init=ones) applied after the input RMSNorm, enabling the model to learn asymmetric weighting between the input and output paths of the tied embedding matrix, with embed_scale also propagating through all x0 residual injections across blocks.
007	exp_000	0	007	opt	eval_budget_overrun	1.079969		Split Muon weight decay into MLP (0.115) vs attention (0.095) param groups, matching the SOTA stack doc's muon_wd_mlp spec that was not yet implemented in code.
008	exp_000	0	008	quant	eval_budget_overrun	1.080517		Frequency-weighted GPTQ Hessian calibration (top-100 tokens get sqrt(2) activation boost → 2× H weight, biasing quantization error toward Zipfian-dominant tokens) plus reduce block_size 128→64 for finer within-block error propagation.
009	exp_000	0	009	curr	eval_budget_overrun	1.080925		Within-shard stratification: divide each shard into 4 positional strata (beginning/quarter/half/end), shuffle within each stratum, then interleave so consecutive pops alternate across strata, ensuring ~10-20% of any shard's sequences drawn during training come evenly from all shard positions rather than clustering in one region.
010	exp_000	0	010	loss	eval_budget_overrun	1.084484		Add z-loss auxiliary penalty (1e-4 * logsumexp(logits)^2) to training forward pass; prevents log-partition-function drift complementary to the existing logit_softcap, improving calibration without touching forward_logits or eval paths.
011	exp_000	0	011	reg	eval_budget_overrun	1.079923		Split Muon weight decay into attn (0.095) vs MLP (0.115) param groups — resubmit after eval_budget_overrun by environment jitter (3.7s over); training-only change adds no eval time.
012	exp_000	0	012	meta	eval_budget_overrun	1.081306		Shorten Muon momentum warmup fraction from 0.33 → 0.22 to spend ~11% more wallclock at full 0.99 momentum (matching canonical modded-nanogpt fast-ramp schedules).
013	exp_000	0	013	ttt	discard	1.148981	+0.067981	Switch TTT optimizer from SGD (lr=0.005, 3 epochs) to AdamW (lr=0.001, 2 epochs): fewer but higher-quality gradient steps via adaptive normalization, fitting within the eval budget (first attempt with 3 AdamW epochs overran by 3.8s).
014	exp_000	0	014	quant	keep	1.079267	-0.001733	FreqGPTQ: two-pass calibration — fast data-only pass counts token frequencies (no model inference), then Hessian collection pass applies sqrt(2) boost to top-100 frequent token activations before H=X^TX; plus block_size 128→64 for finer error propagation.
015	exp_000	0	015	arch	eval_budget_overrun	1.080430		Bifurcate per-head q_gain into [H,2] — col-0 scales RoPE-rotated head dims, col-1 scales NoPE region — letting the optimizer pick separate temperatures for the positional vs content-only sub-spaces.
016	exp_000	0	016	opt	eval_budget_overrun	1.079116		Replace fixed Muon NS coefficients (3.4445,-4.775,2.0315) with Polar Express per-iteration minimax-optimized tuples for 5 steps, and set min_lr floor to 0.10 to prevent LR collapsing to zero at end of warmdown.
017	exp_000	0	017	tok	eval_budget_overrun	1.080415		Add a per-feature bigram mixing channel to the embedding: a zero-init [dim] parameter (bigram_scale) that blends the previous token's RMSNorm-normalized embedding into the current token's embedding, giving the model immediate access to bigram context at the input layer.
018	exp_014	0	018	arch	crash			Add ResFormer-style value residual: cache layer-0 V once, mix `v_mix[0]·V + v_mix[1]·V_layer0` into every later attention's V via a learnable 2-scalar per-block param (init [1.0, 0.0] for step-0 identity); structurally orthogonal to existing XSA / h_gate / bifurcated QK-gain / 3-layer recurrence.
019	exp_000	0	019	loss	eval_budget_overrun	1.084989		Add gentle monotone position-weighted CE: linear ramp from weight 0.8 (pos=0) to 1.2 (pos=T-1), mean-normalized to 1.0, to up-weight later-context predictions and strengthen long-range modeling.
020	exp_000	0	020	eval	eval_budget_overrun	1.079932		TTT per-type LR groups (output proj 3x, input proj 0.5x, others 1x) + momentum 0.95: concentrates adaptation budget on quantized output projections closest to the loss, backed by PR #995 ablation showing this pattern improves short-horizon TTT adaptation.
021	exp_000	0	021	curr	eval_budget_overrun	1.081122		Replace non-overlapping stride (seq_len=2048) with 50% overlapping stride (stride=1024) in shard sampling: 2x more unique starting positions per shard, each token seen from two distinct left-context windows, reducing train/eval stride mismatch and providing richer gradient signal per token within the 600s budget.
022	exp_000	0	022	reg	eval_budget_overrun	1.080023		Split Muon WD (attn=0.095, MLP=0.115) plus reduce gptq_calibration_batches 64→48 to clear the systematic ~603s eval overrun seen in this environment.
023	exp_000	0	023	meta	eval_budget_overrun	1.082483		Raise EMA_DECAY 0.9965→0.998 to extend the averaging half-life from ~198 to ~346 steps, capturing more of the mid-late warmdown trajectory where weights are settling under decreasing LR, reducing per-step noise.
024	exp_014	0	024	quant	eval_budget_overrun	1.081545		Replace binary top-100 sqrt(2) Hessian boost with continuous sqrt(freq/mean) weighting clamped [0.25,4.0], and reduce GPTQ block_size from 64 to 32 for finer per-block error compensation.
025	exp_000	0	025	ttt	eval_budget_overrun	1.080421		Remove cosine-over-chunks LR decay in TTT: use constant LR=0.005 throughout all chunks instead of decaying to near-zero for later chunks, giving equal adaptation budget to all non-last chunks including the critical tail of the validation set.
026	exp_000	0	026	opt	keep	1.077599	-0.001668	Polar Express NS coefficients + MIN_LR=0.10 floor (same as exp_016) with ttt_epochs reduced 3→2 to fit within 600s eval budget.
027	exp_014	0	027	arch	eval_budget_overrun	1.079623		Re-submit ResFormer-style value residual with layer-0 v_mix nullified via register_parameter('v_mix', None) so DDP find_unused_parameters=False (default) is happy — layer 0 captures v_first but never consumes one, so its mix param has no gradient path.
028	exp_000	0	028	eval	discard	1.079645	+0.002046	TTT per-type LR groups (3 groups: out_proj 3x, in_proj 0.5x, others 1x) + momentum 0.95 — same technique as prev submit but params batched into 3 groups (not 136) to eliminate per-param overhead that caused 3.5s eval overrun.
029	exp_014	0	029	loss	eval_budget_overrun	1.087364		Add normalized focal loss (γ=0.5) on top of position ramp: downweights easy tokens (high p_correct), upweights hard tokens, normalized to mean=1 to preserve gradient scale, addressing token-difficulty bias orthogonally to the positional ramp.
030	exp_014	0	030	curr	crash			Sequence-length warmup curriculum: train at seq_len=512 for first 30% of wallclock (faster steps due to O(L²) attention savings, ~10-20% more gradient steps), then switch to seq_len=2048 for the remainder; both graph shapes pre-compiled during warmup to avoid in-budget recompile overhead.
031	exp_014	0	031	tok	eval_budget_overrun	1.080916		Add a learned per-feature word-boundary bias (word_boundary_scale, zero-init [D]) applied only to SP8192 word-start tokens (▁ prefix), injecting explicit morphological structure into the embedding pipeline that the model would otherwise need to infer from token IDs.
032	exp_014	0	032	reg	eval_budget_overrun	1.087361		Add stochastic depth regularization with linear schedule (drop_path_prob linearly from 0% at layer 0 to 10% at layer 10), applied per-sample during training only, to provide implicit ensemble diversity and faster gradient flow through shorter effective paths.
033	exp_014	0	033	quant	eval_budget_overrun	1.081131		Replace binary top-100 sqrt(2) Hessian boost with continuous sqrt(freq/mean) weighting clamped [0.25,4.0]; block_size stays at 64 to avoid eval budget overrun.
034	exp_014	0	034	meta	eval_budget_overrun	1.082474		Move enable_looping_at 0.35 → 0.22 so the looped (eval-matched) depth-recurrence architecture gets ~6% of high-LR training before warmdown starts at frac=0.28, instead of activating only after warmdown has begun decaying the LR.
035	exp_000	0	035	ttt	discard	1.079312	+0.001713	Constant LR throughout TTT chunks (remove cosine decay) with 2 SGD epochs: uniform adaptation budget across all chunks instead of decaying to zero for late chunks, with epoch reduction to fit eval budget (baseline SGD/3ep cosine is right at the 600s edge).
036	exp_026	0	036	opt	discard	1.078914	+0.001315	Lower min_lr from 0.10 to 0.02: eliminates the 43s flat-LR tail at end of warmdown (where LR was clamped at 10% of peak), enabling deeper final convergence aligned with linear-decay-to-zero (D2Z) research showing this schedule is optimal.
037	exp_014	0	037	loss	eval_budget_overrun	1.126005		Add label smoothing ε=0.1 to CE: prevents overconfidence on easy tokens without redistributing gradient between positions, complementary to the existing z-loss (logit-scale) and position ramp (positional-bias) regularization.
038	exp_026	0	038	eval	eval_budget_overrun	1.080374		Apply cosine LR decay across TTT epochs within each chunk: epoch 0 gets full LR, epoch 1 gets 0.75×, epoch 2 gets 0.25×, preventing SGD momentum overshoot in later epochs and yielding a more stably converged adapted model per chunk.
039	exp_014	0	039	tok	discard	1.079274	+0.001675	Add learned per-feature word-boundary bias (word_boundary_scale, zero-init [D]) for SP8192 word-start tokens; LUT populated from val_data.sp in train_model() so deserialize() adds no tokenizer load overhead.
040	exp_026	0	040	arch	eval_budget_overrun	1.080734		Add RWKV-style per-channel learnable token-shift (smear) that blends the previous-position hidden state into each block's pre-attention input via a sigmoid gate, init logit -3.0 (~5% prev-token), giving attention free position-1 context that complements partial-RoPE.
041	exp_014	0	041	curr	eval_budget_overrun	1.087930		Mask the first 25% of each training sequence (positions 0 to seq_len//4-1) from the cross-entropy loss, focusing gradient signal on positions with ≥512 tokens of context and reducing high-entropy zero-context gradient noise.
042	exp_026	0	042	reg	eval_budget_overrun	1.094983		Add 2% random token replacement noise to training inputs (token-level augmentation), forcing the model to use broader context rather than local token copying, complementing existing stochastic depth regularization without reducing gradient signal.
043	exp_026	0	043	meta	eval_budget_overrun	1.083208		Lower enable_looping_at 0.22→0.15: engage 3-layer depth recurrence ~42s earlier so looped layers receive ~9% more wallclock at full effective depth, trading ~10% raw step count for richer training of the looped circuit.
044	exp_026	0	044	ttt	eval_budget_overrun	1.080793		Increase ttt_epochs 2→4 with cosine LR decay within each chunk's adaptation (lr anneals from ttt_lr at epoch 0 to ~15% of ttt_lr at epoch 3), restoring the SOTA-stack epoch count and preventing oscillation in later passes.
045	exp_014	0	045	quant	eval_budget_overrun	1.081341		Merge GPTQ pre-pass into Hessian collection (one data load instead of two), use continuous sqrt(freq/mean) Hessian weighting clamped [0.25,4.0], and reduce calibration batches 64→48 to clear the systematic 3.4s eval budget overrun.
046	exp_026	0	046	opt	discard	1.079071	+0.001472	Replace linear warmdown with cosine warmdown: LR follows 0.5*(1+cos(π*t)) shape during warmdown phase, spending more time near peak LR early and dropping steeply near the end for better convergence.
047	exp_026	0	047	loss	eval_budget_overrun	1.085301		Remove label smoothing (ε=0.1→0.0): z-loss + logit softcap already prevent overconfidence, and uniform smoothing is anti-signal in the underfitting regime by pulling toward a uniform distribution that contradicts the real token distribution.
048	exp_026	0	048	tok	eval_budget_overrun	1.078949		Add within-word subword-position encoding: two new per-feature scales (sub1_scale for 2nd-in-word tokens, sub2_scale for 3rd+-in-word tokens) extending the existing word_boundary_scale to a full 3-class BPE position signal, zero-initialized with 1024 extra parameters.
049	exp_026	0	049	arch	eval_budget_overrun	1.085868		Replace per-block attn_norm/mlp_norm RMSNorm with Dynamic Tanh (DyT, arXiv:2503.10622): tanh(alpha*x) with learnable scalar alpha (init 1.0), reusing existing post-sublayer attn_scale/mlp_scale as the affine gamma; final_norm and inline q/k/embed F.rms_norm unchanged.
050	exp_026	0	050	eval	eval_budget_overrun	1.080700		Add Polyak EMA weight averaging (decay=0.998) during TTT scoring: before each chunk's score-first pass, swap in the EMA-averaged weights; restore training weights afterward; update EMA after every gradient step. Stable averaged weights reduce gradient-noise artifacts in TTT predictions.
051	exp_026	0	051	ttt	eval_budget_overrun	1.080393		ttt_epochs 2→3 with cosine LR decay within chunk (full ttt_lr at epoch 0, 75% at epoch 1, 25% at epoch 2), giving one more adaptation pass than baseline while fitting in the 600s eval budget.
052	exp_026	0	052	curr	eval_budget_overrun	1.085215		Reduce prefix loss-masking from seq_len//4 (512 tokens) to seq_len//8 (256 tokens), giving 17% more gradient positions per sequence to exploit in our gradient-starved 600s training budget.
053	exp_026	0	053	meta	eval_budget_overrun	1.084130		Lower enable_looping_at from 0.15 to 0.08 — more training time under the eval-active looped architecture (eval always uses looping=True), better train/eval architectural match.
054	exp_026	0	054	reg	eval_budget_overrun	1.097321		Add targeted MLP activation dropout (p=0.05) to the three looped layers (3–5) only: these layers receive ~3× gradient signal when depth recurrence is active (frac≥0.35), so per-layer dropout at the qualitative 0→nonzero threshold should force redundant representations and improve post-quant robustness without significantly slowing convergence in the other 8 layers.
055	exp_026	0	055	quant	eval_budget_overrun	1.079618		Differentiate GPTQ clip sigmas by layer type: attention layers use attn_clip_sigmas=10.0 (tighter, finer quantization grid for concentrated weight distributions) while MLP layers keep matrix_clip_sigmas=12.85 (wider, preserving heavy-tailed outliers).
056	exp_026	0	056	opt	discard	1.078880	+0.001281	Replace cosine warmdown with linear decay and lower min_lr from 0.02 to 0.004, giving a WSD-style trapezoidal schedule that decays uniformly to near-zero rather than flatlining at 2% of peak LR for the last ~15% of warmdown.
057	exp_026	0	057	loss	eval_budget_overrun	1.086793		Add focal loss modulation (gamma=0.5) with detached weights and mean-normalization to redirect gradient from easy/common tokens toward hard/rare tokens in the underfitting regime.
058	exp_026	0	058	tok	eval_budget_overrun	1.081021		Add a zero-init trigram channel (per-feature [dim] scale over the 2-prev-token normalized embedding) extending the existing bigram mechanism, giving the embedding pipeline a 2-hop causal look-back before the first transformer block.
059	exp_026	0	059	arch	eval_budget_overrun	1.088831		Add Canon-C (causal depthwise conv1d kernel=4 with residual, zero-init) before each block's MLP — Allen-Zhu, NeurIPS 2025 (arXiv:2512.17351); generalises short-conv operations from Mamba/GLA/Primer into a universal pre-MLP horizontal-mixing layer, complementing the existing kernel-2 shift_mix at the attention path.
060	exp_026	0	060	eval	eval_budget_overrun	1.080513		Polyak EMA (decay=0.998) for TTT chunk scoring using pre-allocated swap buffers: eliminates per-chunk GPU memory allocation (clone→copy_), cutting overhead from ~10s to &lt;2s, while preserving the stable-weights-for-scoring benefit.
061	exp_026	0	061	ttt	discard	1.079412	+0.001813	Keep ttt_epochs=2 but add cosine LR decay within epochs (epoch 0 at full ttt_lr=0.005, epoch 1 at 0.5×ttt_lr=0.0025): zero GPU overhead, prevents oscillation in the second pass, should improve per-chunk convergence.
062	exp_026	0	062	curr	crash			Dynamic batch-size curriculum: use half-batch (393K tokens/step) for the first 20% of wallclock to get ~2x more gradient update steps during rapid early learning, then scale up to full batch (786K tokens/step) for stable late-stage refinement.
063	exp_026	0	063	meta	eval_budget_overrun	1.087975		Bump ema_decay 0.998 → 0.9985 to align EMA timescale τ with the ~0.21·total-steps sweet spot from recent EMA-iterate-averaging literature, given our 72% linear warmdown.
064	exp_026	0	064	opt	discard	1.079807	+0.002208	Keep cosine warmdown shape but lower min_lr from 0.02 to 0.004, so the cosine's flat convergence plateau forms at 0.4% of peak LR instead of 2%, giving a tighter EMA convergence at the end of training.
065	exp_026	0	065	quant	eval_budget_overrun	1.079878		Reduce GPTQ Hessian damping from 0.01→0.005 (halves regularization bias for sharper inverse Hessian) and explicitly pass block_size=32 (finer error propagation, restoring INIT.md baseline block size) — both structural GPTQ quality improvements.
066	exp_026	0	066	tok	eval_budget_overrun	1.080994		Add a zero-init trigram channel (per-feature [dim] scale over the 2-prev-token normalized embedding) extending the existing bigram mechanism, giving the embedding pipeline a 2-hop causal look-back before the first transformer block.
067	exp_026	0	067	loss	eval_budget_overrun	1.090968		Replace focal-loss weighting (gamma=0.5 on p_true) with MiLe-style top-64 entropy weighting: upweights tokens where the model is uncertain across multiple valid continuations, focusing gradient on inherently ambiguous positions rather than tokens the model is simply wrong about.
068	exp_026	0	068	reg	eval_budget_overrun	1.093871		Warmdown-scheduled stochastic depth: decay the stochastic depth scale linearly from 1.0 to 0.0 during warmdown (72% of training), so the model gets clean full-depth gradient signals during convergence rather than noisy dropped-layer updates.
069	exp_026	0	069	ttt	discard	1.079324	+0.001725	Layer-selective TTT: freeze tok_emb and blocks 0-4 during TTT, adapt only blocks 5-10 — fewer adaptable params reduces AllReduce volume on 8 GPUs and focuses gradient signal on task-specific late layers, within the 2-epoch budget.
070	exp_026	0	070	arch	eval_budget_overrun	1.090510		Add Canon-A (kernel-4 depthwise conv, post-attn-norm pre-attn) per Allen-Zhu NeurIPS 2025 — Canon positions are cumulative, so A complements existing C.
071	exp_026	0	071	eval	eval_budget_overrun	1.080427		Polyak EMA (decay=0.998) restricted to output-projection weights only (_g_out: attn.proj + mlp.proj, 22 tensors / ~58 MB) to reduce swap overhead from ~28s to ~1s while preserving smoothing benefit where it matters most — high-LR (3x) params with most gradient noise.
072	exp_026	0	072	meta	eval_budget_overrun	1.088026		Raise TTT SGD momentum 0.9→0.95: with cosine LR decay across ~300 chunks the schedule front-loads adaptation; widening the momentum window (eff. 10→20 steps) preserves early-chunk gradient direction into late chunks where LR is near-zero, modestly improving cumulative adaptation.
073	exp_026	0	073	curr	eval_budget_overrun	1.086506		Dynamic batch-size curriculum (fixed): half-batch (393K tok/step) for first 20% of wallclock for ~2x more gradient update steps early, then full batch (786K tok/step); warmup uses full batch to match baseline compile shape and avoid upward-size recompile crash.
074	exp_026	0	074	quant	eval_budget_overrun	1.080414		Reduce GPTQ Hessian damping factor from 0.01 to 0.005 (halved regularization bias, sharper inverse Hessian), keeping block_size=64 to avoid eval time overrun.
075	exp_026	0	075	opt	keep	1.077413	-0.000186	Raise min_lr warmdown floor from 0.004 to 0.10 so late-training EMA steps see 10% of peak LR instead of 0.4%, keeping updates meaningful throughout the long warmdown_frac=0.72 decay phase.
132	075	1	075/132	loss	discard	1.121509	+0.044096	Add label smoothing eps=0.1 to the CE loss: redistributes 10% of target mass uniformly, which per neural-collapse literature (ICLR 2025) accelerates convergence to well-separated feature representations—valuable in the severely undertrained 600s budget.
076	exp_026	0	076	arch	crash			Add Canon-D (kernel-4 causal depthwise conv) inside MLP between fc and ReLU² activation, complementing existing Canon-A/Canon-C per Allen-Zhu NeurIPS 2025 cumulative-position ablation.
077	exp_026	0	077	loss	eval_budget_overrun	1.091320		MiLe-style top-64 entropy weighting during training only (guard with self.training); TTT falls back to cheap focal weighting to avoid topk overhead across ~6000 TTT adaptation forward calls.
078	exp_026	0	078	tok	eval_budget_overrun	1.081372		Add bigram×trigram element-wise interaction channel at input: captures the joint (t-2,t-1) token-pair signal that additive channels miss, using only a zero-init [dim] scale with negligible size cost.
079	exp_075	0	079	arch	crash			Add Canon-B (depthwise kernel-4 conv on cat([Q,K,V]) pre-reshape) to complete the Canon A/B/C/D set per Allen-Zhu PhysicsLM4 (arXiv:2512.17351), which reports cumulative gain across positions; zero-init residual → step-0 identity, ~88 KB fp16 artifact cost.
080	exp_026	0	080	reg	eval_budget_overrun	1.101324		Add mlp_global_drop=0.02 MLP activation dropout to all non-looped layers (0-2, 6-10), giving uniform light regularization across all 11 blocks instead of dropout only on looped layers 3-5.
081	exp_026	0	081	ttt	eval_budget_overrun	1.097073		Skip redundant eval_val_sliding when TTT is enabled (frees ~264s of budget) and invest it in 4 full-model TTT epochs instead of 2, restoring the SOTA-stack epoch count within the eval budget.
082	exp_026	0	082	eval	eval_budget_overrun	1.078438		Extend TTT Polyak averaging from output projections only (_g_out) to all model parameters, giving more stable scored logits at every TTT chunk by averaging the full adapted model state.
083	exp_026	0	083	meta	eval_budget_overrun	1.083283		Bump tied_embed_init_std from 0.005 → 0.010 to halve embedding warm-up wallclock and improve early gradient signal through the tied logit projection (init scale is not in the crowded beta/eps/wd/warmdown_frac LESSONS list).
084	exp_075	0	084	arch	crash			Canon-B retry: insert depthwise kernel-4 conv on each of Q/K/V projection outputs (3 separate Canon modules) before reshape — mathematically identical to canon(cat([Q,K,V])) since Canon is per-channel, but avoids Tensor.split SymInt issues under torch.compile that may have caused the prior crash; same paper rationale (Allen-Zhu PhysicsLM4 cumulative A/B/C/D), zero-init step-0 identity.
085	exp_075	0	085	quant	eval_budget_overrun	1.080367		Reduce GPTQ block_size from 64 to 32 so quantization errors are propagated more frequently within each column block, improving weight reconstruction fidelity at no artifact-size cost.
086	exp_075	0	086	opt	discard	1.107502	+0.030089	Replace continuous EMA with LAWA (uniform average of ~50 snapshots at 1.45% intervals during the warmdown phase), focusing weight averaging on the fully-converged warmdown region instead of geometrically discounting all-of-training history.
087	exp_026	0	087	loss	eval_budget_overrun	1.092756		Increase focal loss gamma from 0.5 to 1.0: sharpens focus on hard tokens (hard/easy weight ratio ~9x vs ~3x), concentrating more gradient signal on genuinely difficult tokens without any eval-time overhead.
088	exp_026	0	088	curr	eval_budget_overrun	1.087237		Pre-compile the half-batch shape during warmup (2 extra steps before state reset) so the batch-curriculum switch at training step 0 hits the torch.compile cache instead of triggering a mid-loop recompile that counts against the MAX_WALLCLOCK_SECONDS training budget, recovering ~60s of effective training time.
089	exp_075	0	089	arch	crash			Add per-head learnable XSA subtraction strength (xsa_lambda init=1.0) so heads where exclusive-self-attention hurts can dial it down while default-1 reproduces Apple XSA exactly at step-0.
090	exp_026	0	090	ttt	discard	1.079161	+0.001748	Skip eval_val_sliding when TTT enabled (saves ~28s) + ttt_epochs=3 (adds 1 epoch at ~27s cost): net ~+1s vs baseline — more adaptation passes at same wall-clock budget.
091	exp_075	0	091	tok	eval_budget_overrun	1.082572		Add a learnable per-token output logit bias [vocab_size] initialized to zeros, applied before softcap, so the model can explicitly learn the unigram frequency prior and decouple it from contextual embedding representations.
092	exp_075	0	092	reg	eval_budget_overrun	1.097755		Late Muon weight-decay taper: linearly reduce Muon WD from 100% to 50% of original starting at frac=0.70 of training, coinciding with deep warmdown phase — extracted from PR #1729 which showed +0.0042 BPB improvement.
