exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	val_bpb	delta_vs_best	artifact_bytes	train_s	eval_s	total_s	job_name	snapshot_path	notes
000	2026-05-01T04:05:49Z	baseline			baseline	PR #1758 seed (CaseOps + PreQuant TTT LR=1e-3 Unfrozen, 3-seed claim)	0	baseline	1.081000								seed / PR #1758 reference
001	2026-05-01T04:36:37Z	meta	exp_000	000	meta	Lower muon_momentum_warmup_start from 0.92 to 0.85, matching the canonical modded-nanogpt recipe; keeps final momentum 0.99 and 0.33 warmup duration intact. Mechanism: early high momentum (0.92) over-smooths the informative early-training gradient signal during the high-LR phase; starting at 0.85 lets the model adapt faster in the first ~10% of the budget while still saturating to 0.99 well before warmdown.	-0.0015	eval_budget_overrun	1.081851			600.101000	603.100000	1510.000000	apgb-meta-0001		Single-knob meta tweak. Muon momentum start was unusually high vs canonical 0.85; AdamW knobs reported crowded so picked a Muon axis instead. Risk: if 0.92 was tuned-up from 0.85 in a prior experiment, we'll regress modestly (+0.001-0.002).
002	2026-05-01T04:37:18Z	reg	exp_000	000	reg	Split Muon weight decay into attn (0.095) vs MLP (0.115) param groups, targeting stronger L2 regularization on MLP matrices which have 2× more parameters per block and are more prone to overfitting in short training runs.	-0.002	eval_budget_overrun	1.080267			600.048000	603.700000	1506.000000	apgb-reg-0001		muon_wd_mlp=0.115 for mlp.fc and mlp.proj matrices; muon_wd=0.095 retained for all attention matrices. Implemented as two Muon param groups with per-group weight_decay override. This is the missing piece from the SOTA stack description which mentions split MLP WD but it was absent from the multi_596 baseline code.
003	2026-05-01T04:38:28Z	eval	exp_000	000	eval	Replace cosine LR decay across TTT chunks with constant LR (h.ttt_lr=0.005 throughout), eliminating near-zero adaptation in later chunks which the cosine schedule reduces to ~0.001% of full LR by chunk 90/122.	-0.003	eval_budget_overrun	1.080571			600.118000	603.800000	1509.000000	apgb-eval-0001		Cosine decay goes from 0.005 at chunk 0 to ~0 at the last chunks (e.g., chunk 90 of 122 gets LR~0.00073, chunk 110 gets ~0.00007). All chunks equally contribute to BPB, so decaying adaptation hurts later chunks. Constant LR = consistent adaptation throughout. Supported by 'Beyond Cosine Decay' (arxiv 2503.02844, 2025) which shows infinite/flat LR outperforms cosine for continual pre-training. Zero change in compute budget — same number of gradient steps, just at uniform LR=0.005 instead of rapidly decaying.
004	2026-05-01T04:39:06Z	ttt	exp_000	000	ttt	Switch TTT optimizer from SGD (lr=0.005, momentum=0.9) to AdamW (lr=0.001, betas=(0.9,0.999), wd=0) to leverage adaptive gradient normalization in the ~3-step-per-chunk regime where Adam's second-moment immediately normalizes gradient scale without needing warmup steps.	-0.004	eval_budget_overrun	1.080521			600.121000	603.800000	1514.000000	apgb-ttt-0001		With chunk_size=32768 and seq_len=2048 on 8 GPUs, each rank sees only 2 sequences per chunk → ~1 gradient step per epoch × 3 epochs = 3 total gradient steps per chunk. In this extreme few-step regime Adam's per-parameter LR normalization is more effective than fixed-LR SGD. The lr default is changed from 0.005→0.001 (standard Adam fine-tuning scale). Cosine-over-chunks schedule retained unchanged.
005	2026-05-01T04:39:17Z	arch	exp_000	000	arch	"Add per-head sigmoid output gate to attention (init logit(0.95)≈2.944 for near-identity start), placed after XSA before reshape — lightweight form of NeurIPS 2025 ""Gated Attention"" (arXiv:2505.06708, also adopted in Qwen3-Next), introducing a bounded non-linearity on the SDPA output."	-0.002	eval_budget_overrun	1.081088			600.013000	603.100000	1517.000000	apgb-arch-0001		88 new scalar params (1D, num_heads per attn layer × 11 layers), routed automatically to scalar_params optimizer via the ndim<2 branch; no CONTROL_TENSOR_NAME_PATTERNS edit required. Init 2.944 → sigmoid≈0.95 so near-identity at step 0 while letting weak heads dampen. The proj is already zero-init so transparency at step 0 is preserved (proj zero × gate = 0). Risk: gate could over-saturate and damp useful heads, but bounded sigmoid prevents runaway. Expected -0.001 to -0.003.
006	2026-05-01T04:41:00Z	tok	exp_000	000	tok	Add learnable per-feature embedding scale (embed_scale, shape=[embedding_dim], init=ones) applied after the input RMSNorm, enabling the model to learn asymmetric weighting between the input and output paths of the tied embedding matrix, with embed_scale also propagating through all x0 residual injections across blocks.	-0.002	eval_budget_overrun	1.081035			600.125000	603.700000	1507.000000	apgb-tok-0001		The current embedding RMSNorm has no learnable affine parameters (weight=None). With tied embeddings, tok_emb.weight serves dual roles: input lookup (normalized to unit sphere) and output projection. A per-dim scale after the input RMSNorm lets the model learn which embedding dimensions are most informative at input time (for block attention and x0 residual injection) vs output time (logit projection). The parameter is 512 floats passthrough as float16, ~1KB before compression, compresses to near-zero with brotli-11 (constant-1 array). Added to scalar_params optimizer group (AdamW, lr=scalar_lr=0.02, wd=adam_wd=0.02).
007	2026-05-01T04:41:11Z	opt	exp_000	000	opt	Split Muon weight decay into MLP (0.115) vs attention (0.095) param groups, matching the SOTA stack doc's muon_wd_mlp spec that was not yet implemented in code.	-0.002	eval_budget_overrun	1.079969			600.116000	604.500000	1559.000000	apgb-opt-0001		MLP matrices are ~4x larger (2048x512=1M params vs 512x512=262K) and benefit from stronger L2 shrinkage. Two Muon param groups created via list-of-dicts; step() already reads group['weight_decay'] per group so this works without changing Muon internals. No compute cost change.
008	2026-05-01T04:42:14Z	quant	exp_000	000	quant	Frequency-weighted GPTQ Hessian calibration (top-100 tokens get sqrt(2) activation boost → 2× H weight, biasing quantization error toward Zipfian-dominant tokens) plus reduce block_size 128→64 for finer within-block error propagation.	-0.005	eval_budget_overrun	1.080517			600.134000	603.600000	1505.000000	apgb-quan-0001		Port of PR #1721 FreqGPTQ technique onto our baseline. Two-pass calibration: first accumulate per-token frequency counts across 64 batches, then replay forward passes with freq-weighted activations in the Hessian hooks. Embedding hook unchanged (captures output activations, not tied to input token IDs). block_size 128→64 is orthogonal and improves error propagation quality. Both changes are zero artifact-size cost.
009	2026-05-01T04:43:46Z	curr	exp_000	000	curr	Within-shard stratification: divide each shard into 4 positional strata (beginning/quarter/half/end), shuffle within each stratum, then interleave so consecutive pops alternate across strata, ensuring ~10-20% of any shard's sequences drawn during training come evenly from all shard positions rather than clustering in one region.	-0.002	eval_budget_overrun	1.080925			600.072000	603.800000	1511.000000	apgb-curr-0001		FineWeb shards may have positional structure (web crawl order). Stratified within-shard coverage reduces variance in gradient estimates when only 10-20% of each shard is seen per run. The pop() ordering is reversed so the first sequences drawn alternate across all four quartiles. No shape changes → no recompile cost. Listed as untried in curriculum domain preamble.
010	2026-05-01T04:45:33Z	loss	exp_000	000	loss	Add z-loss auxiliary penalty (1e-4 * logsumexp(logits)^2) to training forward pass; prevents log-partition-function drift complementary to the existing logit_softcap, improving calibration without touching forward_logits or eval paths.	-0.002	eval_budget_overrun	1.084484			600.143000	603.200000	1515.000000	apgb-loss-0001		Z-loss from PaLM paper (Chowdhery et al.) applied to post-softcap logits. With softcap=30 bounding logits, logsumexp ranges ~3-15 for a trained model, so z_loss contribution is ~0.001-0.023 (0.03-0.6% of CE). Gradient effect: z_loss pushes all logit magnitudes down at rate ~2e-3*logsumexp*softmax_i, slightly reducing overconfidence. Only forward() is modified; forward_logits() (compiled path used for sliding-window eval and TTT scoring) is untouched. TTT adaptation also uses forward() and will get slight z-loss regularization during adaptation steps.
