exp_id	parent_exp	depth	path	specialist	status	val_bpb	delta_vs_best	hypothesis
000		0	000	baseline	baseline	1.0810		1.0810 SOTA reference
001	000	1	000/001	arch	crash			Value Residual Learning: per-attention learnable gate (init=0) blends layer-0's V into each later attention's V, expected to improve multi-layer value routing at near-zero param cost.
002	000	1	000/002	opt	keep	1.080423	-0.000577	Replace linear LR warmdown with cosine warmdown over the same 20% window (same integral, C¹-smooth transitions — avoids the derivative kink at warmdown entry and softens the LR approach to zero through the late-QAT flip)
007	002	2	000/002/007	opt	discard	1.080779	+0.001920	Reset EMA accumulator at warmdown entry so the final averaged weights reflect only the warmdown phase (LR decaying, refining around local min) — avoids dragging in pre-warmdown high-LR exploration noise.
003	000	1	000/003	meta	keep	1.079647	-0.000776	Bump EMA decay 0.9965→0.998 to widen averaging window into more of the 72% warmdown tail.
006	003	2	000/003/006	meta	discard	1.087700	+0.008841	Continue the EMA-decay trajectory: 0.998→0.999 extends half-life from ~346 to ~693 steps (~7.7%→~15% of run), better aligning the Polyak average with the 72% cosine warmdown tail.
008	003	2	000/003/008	quant	size_blocked	1.072741		GPTQ clip_sigmas: per-LAYER α-grid search (single α∈{0.5,0.7,0.85,1.0,1.15} per layer, shared by all rows) minimizing diag(H)-weighted MSE. Unlike exp_004 per-row MinMSE (size_blocked: heterogeneous scales inflated brotli entropy), uniform per-layer scaling keeps the quantized code histogram shape near-baseline so brotli bytes stay flat, while still capturing cross-layer kurtosis that a single global clip_sigmas=12.85 misses.
004	000	1	000/004	quant	size_blocked	1.070844		Per-row MinMSE scale refinement in GPTQ: 11-point α-grid search around the clip_sigmas heuristic (α=1.0 included, so ≥ baseline fidelity); zero byte overhead since scale storage shape is unchanged.
005	000	1	000/005	arch	keep	1.078859	-0.000788	Increase partial RoPE coverage: rope_dims 16→32 (half of head_dim=64, the common 50/50 RoPE/NoPE split), giving attention more positional signal at zero parameter cost; aggressive QK-gain=5.25 should benefit more from sharper positional anchoring.
009	005	2	000/005/009	loss	discard	1.082039	+0.003180	Add PaLM-style z-loss (α=1e-4 * logsumexp(logits)^2.mean()) to training CE to regularize log-partition toward 0; training-only, no inference cost.
010	005	2	000/005/010	opt	keep	1.078750	-0.000109	Cosine-cool Muon momentum during warmdown (0.99→0.92) in lockstep with the LR cosine curve — lets the trajectory oscillate symmetrically around the local minimum where EMA extracts its signal.
019	010	3	000/005/010/019	tok	discard	1.079662	+0.001603	Equi-row-norm (sphere) init for tied tok_emb: every vocab row starts with identical L2 norm = std*sqrt(d), preserving total mass (compression-neutral vs Gaussian) while eliminating the heavy-tail near-zero rows that under-receive gradient for rare tokens.
011	005	2	000/005/011	tok	size_blocked	1.079792		Raise tied_embed_init_std 0.005→0.02 (GPT-2/NeoX standard) so tied embedding rows start at norm ~0.45 instead of ~0.11, giving initial logits enough magnitude to encode token identity without saturating softcap=30.
012	005	2	000/005/012	reg	size_blocked	1.086500		Input-token noise regularization: in train loop, replace 3% of input tokens per microstep with uniform-random vocab ids (targets unchanged) — word-dropout style implicit reg expected to flatten minima (better int6 GPTQ reconstruction) and reduce overconfidence (larger TTT adaptation signal).
013	005	2	000/005/013	curr	size_blocked	1.080840		Mask CE loss on first 32 positions of each train sequence so gradient focuses on the high-context regime (≥1984 ctx) that dominates eval under sliding-window stride=64.
014	005	2	000/005/014	ttt	keep	1.078472	-0.000278	Increase TTT inner-epoch count 3→4 per chunk: more SGD refinement per chunk under the same cosine-over-chunks LR and anchor-pullback regularization; adaptation cost per chunk is ~1 small batch per rank so +1 epoch adds only a handful of seconds across ~150 chunks, well within the eval budget.
015	005	2	000/005/015	meta	discard	1.080282	+0.001810	Bump Muon momentum warmup START 0.92→0.94 to narrow the 0.92→0.99 ramp (typical Muon setups use 0.95), smoothing early high-LR updates without touching the already-tuned peak or ramp-fraction.
016	005	2	000/005/016	quant	discard	1.078826	+0.000354	Reduce GPTQ Hessian damping from 0.01 → 0.003 (×3.3 less ridge) so H_inv better reflects true second-order curvature, improving off-diagonal error compensation; affects only error propagation (not scale/clip/bits), so artifact bytes are unchanged.
017	005	2	000/005/017	eval	keep	1.078059	-0.000413	Increase TTT epochs per chunk 3→4: more per-chunk SGD steps let the model adapt more thoroughly on early/high-LR chunks (cosine decay across chunks means late chunks already have small LR), improving scoring of subsequent chunks. Score-first order preserves legality.
020	017	3	000/005/017/020	quant	harness_abort			Post-GPTQ per-row MSE-optimal scale refinement: given fixed int6 codes Q, replace heuristic s=clip_sigmas*row_std/clip_range with closed-form s*=<w,q>/<q,q> per row. Size-neutral (codes unchanged → brotli input unchanged).
021	017	3	000/005/017/021	opt	harness_abort			Extend exp_010 warmdown cosine-cooling to Adam beta2 (0.95→0.90), same frac_mm shape as beta1 (0.9→0.85) — shrinks 2nd-moment window from ~20 to ~10 steps in the low-LR tail so per-param Adam scaling tracks the refined end-of-training noise profile alongside beta1.
022	017	3	000/005/017/022	meta	harness_abort			Shorten warmdown_frac 0.72→0.65 to reclaim ~7% of the budget as peak-LR learning (28%→35%) while the EMA tail (half-life ~346 steps) still covers the ~2960-step warmdown by many half-lives.
023	017	3	000/005/017/023	tok	harness_abort			Add a learnable per-vocab logit bias (8192 fp16-passthrough scalars) to the tied softmax so the frequency-prior signal lives in a dedicated parameter instead of being co-encoded into tied tok_emb rows.
024	017	3	000/005/017/024	eval	harness_abort			Reduce sliding-window eval_stride 48→32: every scored token sees 2016 tokens of context (was 2000), improving scoring fidelity in both eval_val_sliding and TTT score-first passes without changing the training step cost.
025	017	3	000/005/017/025	curr	harness_abort			Reduce overlapping-sample stride from seq_len//2 to seq_len//4 in ShuffledSequenceLoader._reset_shard: each token is supervised at 4 positions-in-window per epoch (quartile context depths) instead of 2, doubling context-length diversity with zero per-step compute cost and no loss-semantics change.
026	017	3	000/005/017/026	loss	harness_abort			Anneal label smoothing in lockstep with lr_scale: eps=0.02 during warmup/main training, linearly decays to 0 across the warmdown window so EMA/SWA converges on sharp logits (better GPTQ argmax preservation and sharper TTT start) while early training keeps the baseline regularization.
027	017	3	000/005/017/027	ttt	harness_abort			Halve TTT anchor coefficient 0.01→0.005: with ttt_epochs now 4 (exp_017), each chunk takes 33% more SGD steps than the 3-epoch design, making the anchor term α(p−p0) relatively stronger and over-throttling useful drift — relaxing lets the cosine-over-chunks LR schedule own regularization on its own.
028	017	3	000/005/017/028	arch	harness_abort			Restrict Exclusive-Self-Attention to top 5 decoder layers only (xsa_last_n 11→5): removes XSA's V-direction subtraction from encoder layers (0-2) and looped layers (3-5, each fired 3× under depth recurrence), letting early/middle attention retain full value signal while keeping XSA where feature decorrelation helps most.
029	017	3	000/005/017/029	meta	harness_abort			Widen Muon momentum warmup fraction 0.33→0.45: delays reaching peak 0.99 momentum so more of the peak-LR phase runs at sub-peak momentum, giving smoother 2nd-moment buildup — the symmetric move vs exp_015's discarded ramp-narrowing (start 0.92→0.94), orthogonal to exp_010's warmdown cosine-cool of momentum.
030	017	3	000/005/017/030	arch	harness_abort			Switch MLP from non-gated silu-squared (Primer-style) to 2-projection SwiGLU (silu(fc(x)) * fc2(x), Llama/Mistral standard) with hidden=1344 (2/3 * mlp_mult * dim, 32-aligned) so total MLP params stay ~neutral (slight -360K decrease); input-dependent gating should be more expressive per-parameter than a fixed pointwise nonlinearity.
031	017	3	000/005/017/031	ttt	harness_abort			Enable Nesterov momentum on the TTT SGD optimizer (nesterov=True) — the look-ahead gradient gives effectively-second-order acceleration on the chunk-local, approximately-convex TTT objective where we run only 4 inner epochs per chunk, at zero extra compute and no memory delta vs heavy-ball SGD.
032	017	3	000/005/017/032	tok	harness_abort			Switch tied tok_emb init from normal_ to trunc_normal_ at ±2σ (PaLM/T5/BLOOM standard): same std=0.005 but clip extreme tail rows that inflate GPTQ clip_sigmas and cause early CE spikes on rare tokens.
034	017	3	000/005/017/034	loss	harness_abort			Position-weighted training CE (linspace 0.5→1.5, mean-preserving) upweights long-context positions to align the train loss distribution with the sliding-window stride-64 eval where every scored token has ≥1984 ctx.
035	017	3	000/005/017/035	quant	harness_abort			Shrink GPTQ block_size 128→32: 4× more error-propagation events per matrix (16 vs 4 for 512-col weights) finer-grained redistributes accumulated quant error via Hinv, expected small bpb win at size-neutrality (codes stay in [-31,+31] so brotli entropy ~unchanged).
036	017	3	000/005/017/036	opt	harness_abort			Cosine-anneal grad_clip_norm in lockstep with LR warmdown (0.3 → 0.15 at end): in the low-LR tail, LR no longer masks outlier gradient spikes, so tighter clipping preserves the smooth trajectory that EMA (decay=0.998) averages.
037	017	3	000/005/017/037	eval	harness_abort			Cosine-cool TTT SGD momentum (0.9→0) across chunks in lockstep with the existing cos_lr schedule, so late low-LR chunks run nearly pure-SGD without stale velocity from early high-LR chunks (mirrors exp_010's Muon momentum cool pattern).
038	017	3	000/005/017/038	tok	discard	1.078585	+0.000526	Lower tied_embed_init_std 0.005→0.003 (closer to NanoGPT's 0.02·sqrt(2/(5·n_layer))≈0.0038 prescription): smaller embedding-row entropy compresses better post-GPTQ (more byte headroom) and softens initial tied-head logits, giving a cleaner early CE gradient without changing any code paths.
039	017	3	000/005/017/039	ttt	discard	1.078237	+0.000178	Raise TTT SGD momentum 0.9→0.95: in the very-low-step-count-per-chunk TTT regime (≈4 SGD steps/chunk under a steep cosine-over-chunks LR), higher momentum better smooths/transfers gradient signal from high-LR early chunks into low-LR later chunks without perturbing scoring.
040	017	3	000/005/017/040	reg	discard	1.087850	+0.009791	MLP hidden dropout p=0.05 between silu²(fc(x)) and proj — first dropout-based regularizer tried in this tree, targets the widest activation tensor per block for maximum regularization impact with zero params/bytes added.
041	017	3	000/005/017/041	meta	size_blocked	1.078695		Lower embed_wd 0.085→0.07 (≈18% reduction): tied tok_emb matrix also serves as the output head under tie_embeddings=True, so current WD doubly constrains both input representations and output logits; a small loosening gives the most visible parameter a hair more capacity without approaching zero-WD territory.
042	017	3	000/005/017/042	loss	discard	1.079985	+0.001926	Lower label_smoothing 0.003 → 0.001: val BPB uses plain CE (no smoothing), so training smoothing creates a train/val objective mismatch — shrink it 3× while keeping a tiny 0.001 safety floor against rare-row drift with tied embeddings.
043	017	3	000/005/017/043	opt	discard	1.078837	+0.000778	Replace linear LR warmdown with cosine warmdown over the same 72% window — exp_002's proven idea (-0.000577 in isolation) was never combined into the exp_017 baseline (lineage went exp_000→exp_005→exp_017, skipping exp_002); cosine is C¹-smooth at both endpoints and compounds cleanly with the Muon-momentum cosine-cool already in place from exp_010, yielding a cos² product LR×momentum trajectory during warmdown.
044	017	3	000/005/017/044	eval	discard	1.080666	+0.002607	Apply T=1.05 logit temperature calibration in eval_val_ttt scoring (divide logits by 1.05 before cross_entropy) — GPTQ-int6 + TTT models typically over-concentrate probability mass; mild softening of the softmax is a standard post-hoc calibration trick that lowers NLL on over-confident models without touching TTT SGD dynamics.
045	017	3	000/005/017/045	quant	size_blocked	1.078577		Hessian-weighted closed-form per-row scale refinement after GPTQ (keeping Q fixed): analytically solve s_r = (Q_r·H·W_r)/(Q_r·H·Q_r) — the exact minimizer of ‖W-sQ‖²_H at fixed Q — replacing the heuristic clip_sigmas·row_std/clip_range. Q bytes unchanged so brotli payload is size-neutral, only the fp16 per-row scales shift, with fallback to heuristic when refined value is non-finite or >4× away.
047	017	3	000/005/017/047	curr	discard	1.079067	+0.001008	Halve training-sample stride (seq_len→seq_len//2) in ShuffledSequenceLoader so each in-shard token serves as a training target at two distinct context-window offsets per epoch, lightly augmenting prefix-context diversity without changing total tokens/step.
048	017	3	000/005/017/048	meta	size_blocked	1.078333		Lower adam_eps 1e-8→1e-10 (nanoGPT-speedrun default): finer preconditioner denominator for low-variance Adam groups (tied tok_emb, scalars/gates) lets small-gradient rare-token rows and control tensors keep taking meaningful steps late in warmdown.
049	017	3	000/005/017/049	ttt	discard	1.078282	+0.000223	Freeze tied tok_emb during TTT: exclude the 8192×512 tied embedding from the TTT SGD param list (all other params still adapt). tok_emb receives ~2x backward gradient via the tied input+output path, and each 32K chunk only touches a small fraction of the 8192 vocab → sparse, over-aggressive row updates on a high-curvature matrix; freezing it prevents vocab-row drift while attention+MLP still do local-style adaptation.
050	017	3	000/005/017/050	reg	discard	1.080235	+0.002176	Pre-final-norm residual dropout p=0.03: a single F.dropout on the residual stream just before final_norm in forward_logits — applied once per forward pass (no recurrence compounding, unlike exp_040's MLP dropout which triggered 3× in looped blocks 3-5), regularizes only the final representation feeding logits, disabled under inference_mode so TTT is unaffected.
051	017	3	000/005/017/051	tok	discard	1.081657	+0.003598	Add a learnable scalar logit_scale (init 1.0) applied before the tanh softcap, acting as a learned output-softmax temperature that decouples softmax sharpness from the slow growth of tied tok_emb rows (std=0.005 init → tiny logits for many steps).
052	017	3	000/005/017/052	opt	discard	1.078428	+0.000369	Replace the linear Muon-momentum warmup ramp with a cosine ramp of identical integral/endpoints, giving C¹-smooth transitions at t=0 and t=1 and a continuous derivative into the existing exp_010 cosine cool-down.
053	017	3	000/005/017/053	curr	discard	1.078446	+0.000387	Drop training-sample stride from seq_len//2 to seq_len (no overlap)
054	017	3	000/005/017/054	loss	discard	1.080594	+0.002535	Replace plain CE with focal reweighting γ=0.5 ((1-p_t)^0.5, mean-preserving) — shifts gradient mass toward hard tokens instead of regularizing toward uniform (opposite direction to the 4 prior loss trials that all hurt).
055	017	3	000/005/017/055	quant	size_blocked	1.077829		Use Hessian-diagonal-weighted row_std (weighting each column by H_ii) instead of unweighted std for the INITIAL SDClip scale — aligns the clip budget with the GPTQ objective ‖W-W_q‖²_H without touching Q codes post-hoc, so compressibility is preserved unlike prior scale-refinement attempts (exp_004/008/045 all size_blocked).
056	017	3	000/005/017/056	arch	discard	1.080515	+0.002456	Shift the 3-layer recurrence segment one layer deeper: loop_start 3→4, loop_end 5→6 — rebalances encoder/decoder distribution of looped vs unique slots without changing effective depth, params, bytes, or FLOPs.
057	017	3	000/005/017/057	eval	eval_budget_overrun	1.079645		Halve ttt_chunk_tokens 65536→32768: doubles TTT adaptation frequency so roughly half of val tokens gain an extra score-after-adapt cycle without changing total TTT FLOPs.
058	017	3	000/005/017/058	tok	harness_abort			Replace F.rms_norm with F.layer_norm on the post-tok_emb input embedding: zero-mean + unit-var input (vs rms-only) strips any column-mean bias from tok_emb rows before it is stored as x0 and propagated through every block's skip path, giving better-conditioned early residuals as rows drift during training.
059	017	3	000/005/017/059	arch	harness_abort			Disable parallel residual entirely (parallel_residual_start 7→11): all 11 layers use sequential residual (attn_out feeds into MLP input via x_mid), trading the parallel-residual compute pattern for added sequential expressivity at identical FLOP count — a structural axis not touched since baseline.
060	017	3	000/005/017/060	eval	harness_abort			Clear TTT SGD momentum buffer at each chunk boundary: with only ~4 SGD steps per chunk the β=0.9 buffer stays dominated by the previous chunk's gradient direction, biasing early steps of each new chunk toward a stale loss landscape; fresh momentum per chunk lets cos_lr own adaptation without cross-chunk drift.
061	017	3	000/005/017/061	quant	harness_abort			Raise GPTQ Hessian damping 0.01→0.03 (3×): smoother H_inv produces less chaotic error-propagation updates and fewer outlier codes, which should either improve brotli compressibility or marginally stabilize quantization vs exp_016's opposite-direction damping cut (0.01→0.003, discard).
062	017	3	000/005/017/062	reg	harness_abort			Zero weight decay on scalar/control params (adam_wd 0.02→0.0): q_gain (init 5.25), attn_scale/mlp_scale/resid_mix/skip_weights (init 1.0) and skip_gates are meaningfully non-zero learnable control tensors — the 0.02 wd fights their functional targets; standard modern transformer practice is to exclude scalars/norms/biases from weight decay.
