exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	val_bpb	delta_vs_best	artifact_bytes	train_s	eval_s	total_s	job_name	snapshot_path	notes
000	2026-05-01T21:15:33Z	baseline			baseline	single-agent generalist baseline (PG 1.0810 SOTA stack)	0	baseline	1.081000								single-agent generalist / PG 1.0810 reference
001	2026-05-01T21:45:33Z	generalist	000	000	generalist	Add per-head attention output sigmoid gate (init +5.0 → ~0.993 transparent at step 0) on all 11 layers, allowing the model to dampen redundant heads — a missing component vs the documented multi_596 reference at 1.072.	-0.004	eval_budget_overrun	1.080742			600.130000	603.700000	1515.000000	apg1-gene-0001		Adds nn.Parameter attn_out_gate=[num_heads,] in CausalSelfAttention; applies sigmoid(gate) elementwise to y=[B,T,H,D] before reshape+proj. Total +88 fp32 params across 11 blocks (~352 bytes; passes through as fp16 in GPTQ pipeline). Mechanism: gated attention is a standard small-LM trick (cf. PR library #1721, #1632, #1692 etc). Init 5.0 chosen so step-0 forward is near-identity (sigmoid(5)≈0.993) and gradient signal is non-vanishing. Param classifies into scalar_params via ndim<2 check; not matched by CONTROL_TENSOR_NAME_PATTERNS so AdamW @ scalar_lr=0.02 with adam_wd=0.02. No size impact, no FA3 hazard, no torch.compile shape issue.
002	2026-05-01T22:15:34Z	generalist	000	000	generalist	Freeze tok_emb during score-first TTT (tied embedding == output projection; per-chunk SGD on it overfits global vocab mapping to 32K-token windows).	-0.0015	eval_budget_overrun	1.080426			600.091000	603.800000	1515.000000	apg1-gene-0002		Excludes tok_emb.weight from ttt_params and sets requires_grad_(False) on it before TTT loop. Restores requires_grad_(True) on all params at end (existing code). Mechanism: tok_emb (~4M params, ~40% of total) is tied to logit projection, so per-chunk SGD shifts BOTH the input embedding and the output mapping. With 3 epochs * ~15 chunks * SGD-momentum-0.9, this accumulates noisy chunk-local-frequency bias. Freezing it keeps global vocab semantics stable while letting block matrices + scalar control tensors do per-chunk adaptation. Bonus: less work in optimizer.step / allreduce → small eval-budget reclaim, mitigating the eval_budget_overrun seen on exp_001.
003	2026-05-01T22:42:25Z	generalist	002	000	generalist	Skip standalone quantized_sliding_window eval when TTT is enabled (TTT itself does sliding-window scoring; the standalone pass is purely diagnostic and redundant against a tight 600s budget) — combined with the freeze-tok_emb TTT change from exp_002.	-0.0006	keep	1.079370	-0.001630	15996620	600.128000	550.200000	1455.000000	apg1-gene-0003	snapshots/003_generalist	exp_002 produced val_bpb=1.080426 (improvement from baseline 1.081) but tipped over the eval budget by 3.8s due to running BOTH the standalone sliding-window pass AND the TTT pass. Per the run-rules note, primary metric regex matches quantized_ttt; sliding-window is fallback only when TTT is disabled. Gating the standalone pass with `not h.ttt_enabled` reclaims a full pass over val tokens at stride 64 (estimated 30-100s saved on 8 GPUs), more than enough headroom. The freeze-tok_emb mechanism from exp_002 is preserved. Expected: val_bpb≈1.0804 (within noise of exp_002), eval_s drops to ~520-570s, status=keep.
004	2026-05-01T23:14:35Z	generalist	003	003	generalist	Raise TTT cosine LR floor from 0 to 0.4·ttt_lr so late val chunks (where the model has accumulated useful drift toward val distribution) keep adapting at meaningful LR instead of freezing.	-0.001	keep	1.078965	-0.000405	15995788	600.117000	554.900000	1464.000000	apg1-gene-0004	snapshots/004_generalist	Score-first TTT iterates over ~305 chunks of 32K tokens with cosine LR decay over chunk index. Original schedule decays to ~0 LR at the last chunk so the latter half of val data sees minimal adaptation, despite (a) the model by then being much closer to val distribution (so gradient signal is cleaner) and (b) ~50s of eval-budget headroom exp_003 freed by skipping the standalone sliding-window pass. Mechanism: replace 0.5·(1+cos(πi/N)) with 0.4 + 0.6·0.5·(1+cos(πi/N)) — same shape, but late chunks get 0.4·ttt_lr instead of 0. Total integrated LR-time rises 1.5×, which slightly increases SGD-step cost via larger gradient norm (clipped at 1.0 already), so eval_s should rise <5s. Risk: cumulative drift could overshoot if late-chunk gradients reinforce a wrong direction; mitigated because chunks are sequential and gradients reflect local distribution. Expected delta: small but principled (-0.001).
005	2026-05-01T23:43:00Z	generalist	004	004	generalist	Switch TTT inner SGD from heavy-ball to Nesterov-accelerated momentum (nesterov=True). Across ~58K inner steps spanning 305 chunks at constant per-chunk LR, the lookahead update should converge faster per step at zero memory/compute cost.	-0.001	discard	1.079119	+0.000154	15995492	600.137000	550.400000	1462.000000	apg1-gene-0005		SNOO (arxiv 2510.15830) finds that Nesterov on the inner-loop pseudo-gradient is the primary driver of DiLoCo-style gains over heavy-ball momentum; the same mechanism applies per-chunk in our score-first TTT (~192 inner steps × 305 chunks at constant LR). PyTorch SGD with nesterov=True requires momentum>0 and dampening==0 (both satisfied: momentum=0.9, dampening default 0). Score-first ordering and freeze_tok_emb preserved. Eval cost identical (same FLOPs, same buffer); only the update formula changes.
006	2026-05-02T00:14:12Z	generalist	004	004	generalist	Layer-wise LR decay for TTT inner SGD: layer i gets 0.85^(10-i)·ttt_lr (5× total span across depth) — concentrate per-chunk adaptation on later blocks where distribution shift mostly manifests, keep early-layer token features stable. Outer cosine schedule, momentum, and step count unchanged.	-0.0005	discard	1.079535	+0.000570	15994598	600.111000	554.100000	1463.000000	apg1-gene-0006		Discriminative fine-tuning principle (ULMFiT/BERT-style): lower layers handle general features, upper layers task-specific. With score-first TTT on 32K-token chunks, late layers carry the per-chunk drift — full LR concentrates capacity there, while 0.20× LR at layer 0 reduces overfit-to-chunk risk on the embedding-near layers. Compute-free (multiple param groups in same SGD). Companion to exp_004 (LR floor); orthogonal axis to exp_005 (Nesterov).
007	2026-05-02T00:45:49Z	generalist	004	004	generalist	Add weight_decay=1e-4 to TTT SGD optimizer to mildly regularize cumulative drift across ~58K inner steps over 305 chunks; lr×wd=5e-7 per step gives ~3% pull-toward-zero washing out idiosyncratic per-chunk gradient noise while leaving persistent val-distribution signal intact.	-0.0007	discard	1.079117	+0.000152	15992508	600.054000	549.200000	1454.000000	apg1-gene-0007		Recent TTT thread: exp_004 (cosine LR floor 0.4) KEEP -0.0004 implies persistent late-chunk adaptation helps; exp_006 (layer-wise LR decay 0.85) DISCARD +0.00057 implies all layers want full LR. Conclusion: TTT works well; cumulative drift is the under-explored failure mode. WD=1e-4 is the smallest structural addition (zero→nonzero) that addresses cumulative drift without dampening per-step adaptation. Mechanism: with no decoupling, momentum-driven weight excursions accumulate across 305 chunks; per-head scalars (q_gain, attn_out_gate at ~+5) and matrix weights all drift unboundedly. WD pulls toward zero — technically wrong anchor (would prefer pull-toward-init), but at 1e-4 the cumulative effect (~0.029×) is dominated by recent steps via momentum coupling, so de-facto it acts as a moving-average regularizer favoring chunks whose grads align persistently. Risk: scalar params (q_gain≈5.25) drift to ~5.10 (sigmoid 0.993→0.992; negligible); matrix weights at ±0.05 drift to ±0.0485 (mild capacity reg). If WD too aggressive: regression similar in scale to exp_006 (+0.0005). If just right: ~-0.001. Information-theoretically informative either way: tells us whether cumulative TTT drift is a real failure mode.
008	2026-05-02T01:21:40Z	generalist	004	004	generalist	Sharper GPTQ calibration: Hessian damp factor 0.01→0.005 and lazy-batch block_size 128→32 — together push the post-quant weights closer to the FP optimum since both knobs trade calibration robustness for fidelity, an underexplored surface in this lineage (TTT-tweaks 005/006/007 all discarded).	-0.002	discard	1.079404	+0.000439	15998441	600.077000	554.400000	1462.000000	apg1-gene-0008		"Untouched surface (quantization) vs crowded TTT direction. Damp 0.005 has external prior (PR #1318, ICLR 2026 ""Geometry of LLM Quantization""). block_size=32 also realigns with the seed-stack documentation (system prompt explicitly says ""block_size=32""). No size impact (purely calibration-time changes, output bytes identical). No budget impact (32-col Cholesky cheaper than 128-col; matmul flops the same total). Risk: aggressive calibration could slightly overfit to calibration set; mitigated by 64 calibration batches and per-row symmetric quant. If keep, follow-up: damp 0.005→0.003. If discard or marginal, pivot away from quantization."
009	2026-05-02T01:51:05Z	generalist	004	004	generalist	Add PaLM-style z-loss aux (coef 1e-4 · mean(logsumexp(logits)^2)) to training/TTT cross-entropy: bounds the softmax partition function, tightening logit dynamic range so downstream GPTQ int6 quantization noise is relatively smaller per-token; orthogonal to the saturated TTT-tuning thread.	-0.0008	discard	1.083416	+0.004451	15990956	600.043000	558.400000	1471.000000	apg1-gene-0009		Untouched loss-shape surface; PaLM/ST-MoE/GLM standard coefficient. Coefficient 1e-4 with logits already softcapped at 30 yields aux term ~0.5-1% of CE — non-disruptive but persistent regularization across the full ~600s train. Should help GPTQ post-quant especially since softmax is the binding metric. Same z-loss applies during TTT inner-SGD but at this coef won't meaningfully bias the per-chunk adaptation. Risk: tiny extra logsumexp compute in fullgraph compile — verified syntax+size locally; logsumexp is a standard reduction so compile should not break. Expect modest -0.0008 or null result; training-time only so eval budget unchanged.
