exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	core_metric	val_bpb	delta_vs_best	train_s	total_s	job_name	snapshot_path	notes
000	2026-04-28T05:24:48Z	baseline			baseline	calibrated baseline (1 trial, avg=0.161800)	0	baseline	0.161800							d12 miniseries baseline reference (NANOCHAT_BASE_DIR pre-baked)
001	2026-04-28T05:50:52Z	sched	000	000	sched	Couple weight decay to LR multiplier (WD ∝ LR) instead of independent cosine-to-zero decay, maintaining T_epoch = B/(η·λ·D) consistency throughout training.	+0.005	discard	0.159600	0.846935	-0.002200	746.111188	746.111188	nc-sche-0001		Current cosine WD: decays from weight_decay_scaled → 0 over full training, meaning WD is already at ~79% of peak when warmdown starts (during constant-LR phase) and reaches 0 while LR is still at 5% (final_lr_frac). New LR-coupled WD: WD = weight_decay_scaled * get_lr_multiplier(it), so WD holds at full strength during constant-LR phase, then decays proportionally with LR to weight_decay_scaled * 0.05 at the end. Theoretically justified by T_epoch framework already cited in base_train.py (arxiv 2405.13698): η·λ = constant requires WD ∝ LR.
002	2026-04-28T05:52:14Z	arch	000	000	arch	Replace relu^2 MLP (4x, hidden=3072) with SwiGLU (8/3x, hidden=2048) — parameter-neutral swap using SiLU-gated MLP, same init scheme.	+0.008	discard	0.159700	0.846528	-0.002100	762.732428	762.732428	nc-arch-0001		For n_embd=768, 8/3*768=2048 exactly, so 3*768*2048 == 2*768*3072 == 4,718,592 params per MLP block. Gate proj initialized same as up-proj (0.4x uniform std). SwiGLU is the standard modern LLM MLP activation (LLaMA, Mistral, PaLM) and is expected to improve sample efficiency over relu^2 at the same parameter budget.
003	2026-04-28T05:53:28Z	opt	000	000	opt	Increase Muon NorMuon variance-reduction beta2 from 0.9 to 0.95, matching the NorMuon paper recommendation for smoother per-neuron adaptive rates.	+0.003	discard	0.159900	0.845735	-0.001900	747.405179	747.405179	nc-opt-0001		NorMuon (arxiv 2510.05491) consistently uses beta2=0.95 across all scales (124M, 350M, 1.1B, 5.4B). The current nanochat uses beta2=0.9. Higher beta2 gives smoother per-neuron second-moment estimates, reducing noise in the adaptive scaling. Change is in gpt.py setup_optimizer: Muon group beta2 0.9→0.95. No schedule changes (sched domain untouched).
004	2026-04-28T05:53:59Z	sys	000	000	sys	Enable FP8 training (--fp8 flag) to use cuBLAS FP8 tensorwise dynamic scaling on GPU; same training steps as BF16 baseline, ~1.3-1.5x faster per step, d12 dims (≥768) all above the 128-filter threshold so all eligible layers convert.	+0.003	discard	0.144400	0.848517	-0.017400	775.447665	775.447665	nc-sys-0001		Custom fp8.py uses tensorwise dynamic scaling (one scale per tensor per forward/backward). All d12 Linear layers have min_dim=768 >> 128 threshold so 100% of eligible layers are converted. FP8 forward uses use_fast_accum=True (standard practice), backward uses False (precise gradients). Speedrun LEADERBOARD.md Run 2 shows FP8 gave 4.3% wall-clock improvement on d26; for d12 the relative benefit should be similar or better due to smaller model size dominating the per-step time.
005	2026-04-28T05:54:10Z	data	000	000	data	Recover ~35% discarded tail tokens in BOS-bestfit packing: when cropping a document to fill a row, prepend BOS to the tail and return it to the buffer instead of discarding it, giving the model more unique training text per compute step.	+0.008	discard	0.156100	0.851273	-0.005700	752.080534	752.080534	nc-data-0001		Current BOS-bestfit packing discards ~35% of tokens when cropping the shortest document to fill remaining row space. The tail [BOS + doc[remaining:]] is coherent text and valid training signal. By appending it back to the doc_buffer, we recover nearly all wasted tokens. This increases the diversity of unique text seen per training step without changing compute budget or architecture. Buffer dynamics: tails are shorter than average docs so the best-fit check picks them up efficiently; the buffer stays bounded at ~buffer_size=1000. Risk: the tail starts mid-document after an artificial BOS, which slightly misrepresents document structure, but the quality tradeoff is expected to be outweighed by the ~35% more unique data.
006	2026-04-28T06:09:07Z	sched	000	000	sched	Cosine LR warmdown (replaces linear) + revert WD to cosine decay: cosine warmdown spends more time near peak LR early (≈0.86 vs 0.76 at 75% through warmdown), while reverting exp_001's harmful WD∝LR back to cosine-to-zero decay.	+0.003	discard	0.160500	0.846960	-0.001300	752.168517	752.168517	nc-sche-0006		Two schedule changes: (1) get_lr_multiplier warmdown phase changed from linear interpolation to cosine curve: final + (1-final)*0.5*(1-cos(pi*progress)), same endpoints/ratio but spends more iters at higher LR. (2) get_weight_decay reverted from WD∝LR (exp_001, discarded at 0.1596) back to cosine decay: weight_decay_scaled * 0.5 * (1 + cos(pi*it/num_iterations)). Muon momentum schedule unchanged.
007	2026-04-28T06:12:57Z	sys	000	000	sys	Switch --window-pattern from SSSL to L: with PyTorch SDPA (no FA3 on environment), any sliding-window mask forces the slow math backend; only is_causal=True (enabled by L) uses the Flash SDPA kernel. 9/12 SSSL layers were on math backend; L puts all 12 on Flash (~3-5x faster attention). Also reverts FP8 (exp_004 degraded quality by -0.017). More context per step may improve convergence quality too.	+0.005	keep	0.169500	0.844967	+0.007700	541.766792	541.766792	nc-sys-0006	snapshots/007_sys	SDPA backend constraint confirmed by PyTorch docs: custom attn_mask (bool or float) disables both Flash and mem_efficient backends, forcing math fallback. Only is_causal=True without mask enables Flash path. SSSL S-layers (window=512, Tq=2048: window&lt;Tq branch) build explicit bool masks → math backend. L-layers (window=2048 &gt;= Tq=2048 branch) use is_causal=True → Flash backend. With SSSL: 9/12 layers on math, 3/12 on Flash. With L: 12/12 on Flash. Speedup in attention should be ~3x, potentially allowing the same wall budget to process more tokens in future iterations. Also: full context slightly improves each attention step quality vs 512-token sliding window.
008	2026-04-28T06:13:14Z	opt	000	007	opt	Revert Muon NorMuon beta2 to 0.9 (undo discarded exp_003) + raise lm_head AdamW betas from (0.8, 0.96) to (0.9, 0.99) for more stable variance tracking on the 32768-dim unembedding layer.	+0.003	discard	0.149700	0.846313	-0.019800	754.159987	754.159987	nc-opt-0006		exp_003 set Muon beta2=0.95 but was discarded (-0.0019); reverting to baseline 0.9. Key new change: lm_head AdamW beta2 from 0.96 → 0.99 (timescale 25 → 100 steps) and beta1 from 0.8 → 0.9. The lm_head maps to 32768-dim vocabulary; with beta2=0.96 the variance estimate adapts too quickly for a large vocab output projection. Beta2=0.99 (standard for output layers in LLM training) should give more stable per-token learning rate estimates and better calibration on CORE metric tasks.
009	2026-04-28T06:14:34Z	arch	000	007	arch	Revert MLP to relu^2 (4x, relu(x).square()) from failed SwiGLU exp_002; restore full-scale c_fc init; increase logit softcap 15→20 (nanochat LOG confirms 20 optimal at d24).	+0.002	discard	0.153100	0.847835	-0.016400	740.946087	740.946087	nc-arch-0006		exp_002 replaced relu^2 with SwiGLU and was discarded. This trial restores relu^2 and adds softcap=20 per the March 2026 LOG entry ('Quick experiment to tune logit softcap on d24 scale... 20 was the best'). The baseline has softcap=15 (unchanged by exp_002). The init_weights docstring specifies c_fc as uniform(std=1/sqrt(n_embd)) = full s; exp_002 incorrectly used 0.4x for both c_fc and c_gate in SwiGLU. Two independent confirmed signals support this combo.
