exp_id	parent_exp	depth	path	specialist	status	val_bpb	delta_vs_best	hypothesis
000		0	000	baseline	baseline	1.081000		PR #1758 seed (CaseOps + PreQuant TTT LR=1e-3 Unfrozen, 3-seed claim)
001	000	1	000/001	curr	crash			Short-to-long seq-len curriculum: train at seq_len=1024 for first 25% of wallclock, then step to 2048 — enables ~2.5x faster early steps (quadratically cheaper attention) yielding ~35% more optimizer steps in the same 600s budget, aligned with SkyLadder-style context-window scheduling gains.
002	000	1	000/002	quant	keep	1.079188	-0.001812	Frequency-weighted GPTQ Hessian: pre-collect calibration batches, count token frequencies, give top-100 most-frequent tokens sqrt(2) activation scaling so their contribution to H=X^T X is 2x larger, biasing GPTQ error compensation toward the tokens that dominate BPB.
015	002	2	000/002/015	quant	eval_budget_overrun	1.080681		Reduce GPTQ Hessian damping from 0.01 to 0.005 (less regularization bias in H inversion) and block_size from 128 to 64 (finer per-block error propagation), both improving post-quantization fidelity at no time cost.
023	002	2	000/002/023	quant	discard	1.079291	+0.000514	Two-tier frequency weighting: top-50 tokens get 2.0 activation weight (4× Hessian) and tokens 51-200 get sqrt(2) (2× Hessian), replacing the flat top-100 sqrt(2) scheme — stronger Hessian emphasis on the highest-BPB-impact tokens.
003	000	1	000/003	reg	eval_budget_overrun	1.080205		Split Muon weight decay by parameter type: attn matrices keep muon_wd=0.095, MLP matrices raised to muon_wd_mlp=0.115, applying stronger regularization where MLP layers benefit more from it.
004	000	1	000/004	arch	size_blocked	1.081633		ResFormer value-residual: layer-0 V mixed at fixed 0.5 into V of every later attention (zero added params, residual-topology change).
005	000	1	000/005	meta	keep	1.079067	-0.000121	Raise TTT cosine LR floor from 0 to 0.5*ttt_lr so late chunks still adapt at 50% of peak instead of decaying to ~0.
011	005	2	000/005/011	arch	crash			Learnable per-layer ResFormer V-residual: each block adds nn.Parameter scalar v_alpha; v <- sigmoid(v_alpha)*V_1 + (1-sigmoid(v_alpha))*V_n with v_alpha init=0 (sigmoid=0.5).
016	005	2	000/005/016	meta	eval_budget_overrun	1.080353		Add nesterov=True to TTT SGD optimizer (momentum=0.9): lookahead-gradient step gives ~5-15% effective convergence speedup at zero compute cost, compounding exp_005's raised cosine LR floor on under-adapted late chunks.
018	005	2	000/005/018	ttt	eval_budget_overrun	1.079229		MLP-only TTT: freeze attention+embedding weights, adapt only MLP fc/proj/norm/scale parameters (filter `'mlp' in name`) — more stable and cheaper per step (skips ~44 attention weight-gradient GEMMs, halves allreduce traffic), motivated by TTT-E2E (arxiv:2512.23675).
020	005	2	000/005/020	tok	eval_budget_overrun	1.083456		Replace 4-class word-position embedding (cummax scan) with 2-class binary word-type embedding (word-start vs continuation) via direct boolean lookup — eliminates sequential cummax overhead that caused eval_budget_overrun while preserving word-boundary signal at the input layer.
021	005	2	000/005/021	arch	eval_budget_overrun	1.080125		Learnable per-layer ResFormer V-residual: blocks 1..N-1 each carry an nn.Parameter scalar v_alpha; v <- sigmoid(v_alpha)*V_1 + (1-sigmoid(v_alpha))*V_n with v_alpha init=0 (sigmoid=0.5). Block 0 has no v_alpha (v_first=None there) to avoid DDP unused-param.
