exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	val_bpb	delta_vs_best	artifact_bytes	train_s	eval_s	total_s	job_name	snapshot_path	notes
000	2026-04-22T01:36:09Z	baseline			baseline	1.0810 SOTA reference	0	baseline	1.0810								seed / 1.0810 reference
001	2026-04-22T01:44:26Z	arch	000	000	arch	Value Residual Learning: per-attention learnable gate (init=0) blends layer-0's V into each later attention's V, expected to improve multi-layer value routing at near-zero param cost.	-0.002	crash						34.000000	apg-arch-0001		Adds nn.Parameter(zeros(1)) to each CausalSelfAttention (v_residual_gate). CausalSelfAttention.forward now returns (proj, v_out); Block.forward threads v_first through. GPT.forward_logits initializes v_first=None and propagates. Init at 0 → forward is identical to baseline at step 0; scalar optimizer trains the gate up. Gate shared across looped invocations of the same block, which matches DeepSeek-V3 VRL semantics. XSA uses v_used (post-blend) to stay consistent with what attention actually saw. Params: +11 scalars (~44 B fp32). | torch.distributed.elastic.multiprocessing.errors.ChildFailedError: ============================================================ (train_gpt.py:1401 in step_fn)
002	2026-04-22T02:03:03Z	opt	000	000	opt	Replace linear LR warmdown with cosine warmdown over the same 20% window (same integral, C¹-smooth transitions — avoids the derivative kink at warmdown entry and softens the LR approach to zero through the late-QAT flip)	-0.002	keep	1.080423	-0.000577	15992536	600.146000	710.854000	1422.000000	apg-opt-0001	snapshots/002_opt	Only change: lr_mul() in train loop. Stable phase identical; within warmdown window compute x=(frac-(1-wd))/wd and return 0.5*(1+cos(pi*x)). Integral 0.5*warmdown_frac matches linear so baseline peak LRs (matrix 0.022, scalar 0.02, embed 0.6, head 0.008) should not need re-tuning. Motivation: (a) linear warmdown has a discontinuous derivative at frac=1-wd (LR drops from 1.0-rate constant to -1/wd slope); cosine is C¹ there. (b) late-QAT flip introduces a loss-landscape shift; cosine's soft LR approach to 0 dampens the optimizer response during QAT settling. (c) Muon momentum is at peak 0.99 in this region — smoother LR reduces buffer-driven overshoot under high momentum. No other knobs touched.
003	2026-04-22T02:05:15Z	meta	000	002	meta	Bump EMA decay 0.9965→0.998 to widen averaging window into more of the 72% warmdown tail.	-0.001	keep	1.079647	-0.000776	15992067	600.049000	718.951000	1440.000000	apg-meta-0001	snapshots/003_meta	Current warmdown_frac=0.72 is an unusually long LR cooldown. At ema_decay=0.9965 the EMA half-life is ~198 steps (~4-5% of ~4500-step run), so EMA only averages the last ~1000 steps — a small slice of the stable low-LR regime. Raising to 0.998 (half-life ~346 steps, ~8% of run) captures roughly the last ~1700 steps, still well inside the warmdown region and avoiding the higher-LR pre-warmdown updates. Small-radius meta tweak; expected -0.001 bpb with minimal risk. If this regresses, signal is that faster EMA (e.g. 0.995) is preferred given this warmdown shape.
004	2026-04-22T02:05:27Z	quant	000	003	quant	Per-row MinMSE scale refinement in GPTQ: 11-point α-grid search around the clip_sigmas heuristic (α=1.0 included, so ≥ baseline fidelity); zero byte overhead since scale storage shape is unchanged.	-0.003	size_blocked	1.070844		21797963	600.054000	708.946000	1420.000000	apg-quan-0001		Baseline uses s = clip_sigmas * row_std / clip_range, a fixed heuristic applied uniformly to every row. Real weight rows differ in kurtosis/skew. I scan α ∈ {0.4, 0.55, 0.7, 0.82, 0.9, 0.96, 1.0, 1.04, 1.1, 1.2, 1.35} per row and keep the α that minimises |w − q·s|² (direct weight MSE). Since α=1.0 is in the grid, worst-case is matching baseline. No change to storage layout (still fp16 per-row s) → model_bytes unchanged; code grows by ~20 lines. Runs on CPU in <3s across all matrices. Hessian-aware error correction in the subsequent GPTQ loop is untouched — this only refines the quantization codebook step-size. Standard trick in AdaQuant / OBQ literature; high-confidence small bpb win.
005	2026-04-22T02:16:33Z	arch	000	003	arch	Increase partial RoPE coverage: rope_dims 16→32 (half of head_dim=64, the common 50/50 RoPE/NoPE split), giving attention more positional signal at zero parameter cost; aggressive QK-gain=5.25 should benefit more from sharper positional anchoring.	-0.003	keep	1.078859	-0.000788	15999298	600.120000	719.880000	1438.000000	apg-arch-0002	snapshots/005_arch	Also reverts exp_001's crashed VRL (tuple-returning attn + v_first threading) back to baseline attention, since exp_000 has no snapshot and my workdir inherited the crashed state. The only semantic change vs baseline is Hyperparameters.rope_dims default 16→32. Rotary module re-sizes inv_freq buffer; NoPE tail now 32 dims (was 48). No param count change, no latency change, no compile-graph topology change.
006	2026-04-22T02:32:07Z	meta	003	005	meta	Continue the EMA-decay trajectory: 0.998→0.999 extends half-life from ~346 to ~693 steps (~7.7%→~15% of run), better aligning the Polyak average with the 72% cosine warmdown tail.	-0.0004	discard	1.087700	+0.008841	15993776	600.076000	712.924000	1421.000000	apg-meta-0005		exp_003 bumped ema_decay 0.9965→0.998 (+0.0015) for -0.000776. Polyak theory: with cosine warmdown at warmdown_frac=0.72, optimal EMA half-life ≈ warmdown_length/2 ≈ 36% of run (decay≈0.9996). 0.998 is still ~5x short of that. Bisection step +0.001 to 0.999 is ~2/3 the size of the prior winning step; still conservative vs theoretical optimum, so expecting smaller but same-sign gain. Risk: over-staling if LR-near-zero tail dominates, but cosine warmdown puts negligible weight updates in the last ~10% anyway.
007	2026-04-22T02:33:19Z	opt	002	005	opt	Reset EMA accumulator at warmdown entry so the final averaged weights reflect only the warmdown phase (LR decaying, refining around local min) — avoids dragging in pre-warmdown high-LR exploration noise.	-0.001	discard	1.080779	+0.001920	15993170	600.138000	718.862000	1433.000000	apg-opt-0005		Only change to train_gpt.py: (1) add `warmdown_ema_reset_done=False` flag near ema_state init; (2) wrap the per-step EMA update so that on the first step where `frac >= 1 - warmdown_frac`, ema_state is hard-reset to current base_model weights (no decayed blend), then subsequent steps resume standard EMA with unchanged decay 0.9965. Rationale: EMA starts at step 0 tracking random init; with warmdown_frac≈0.2 the tail `0.9965^900 ≈ 4.2%` of final EMA mass comes from pre-warmdown weights (high-LR exploration phase). Resetting at warmdown entry makes the final averaged state a pure EMA over only warmdown-phase snapshots, which have monotonically shrinking step size and should Polyak-average to a tighter minimum. Risk: if warmdown_frac is ~0.72 (production default from Hyperparameters class), pre-warmdown contamination is already ~1e-5 so the reset is essentially a no-op — expected delta would be ≈0 not -0.001, but no harm. No new params, no new compute, zero size impact.
008	2026-04-22T02:33:56Z	quant	003	005	quant	GPTQ clip_sigmas: per-LAYER α-grid search (single α∈{0.5,0.7,0.85,1.0,1.15} per layer, shared by all rows) minimizing diag(H)-weighted MSE. Unlike exp_004 per-row MinMSE (size_blocked: heterogeneous scales inflated brotli entropy), uniform per-layer scaling keeps the quantized code histogram shape near-baseline so brotli bytes stay flat, while still capturing cross-layer kurtosis that a single global clip_sigmas=12.85 misses.	-0.003	size_blocked	1.072741		20418226	600.105000	704.895000	1410.000000	apg-quan-0005		gptq_quantize_weight now sweeps 5 α values per layer over the (already-permuted) W_perm, using diag(H)-weighted reconstruction MSE as the proxy loss (matches GPTQ objective before block propagation). Storage unchanged (per-row fp16 scales; α folds into s). α=1.0 in grid so this can't regress from baseline. Compute cost ~5× direct-MSE eval per layer — sub-second total. Expected gain is a fraction of exp_004's -0.01 (per-row granularity abandoned) but without the entropy blowup that triggered size_blocked.
009	2026-04-22T03:09:15Z	loss	005	005	loss	Add PaLM-style z-loss (α=1e-4 * logsumexp(logits)^2.mean()) to training CE to regularize log-partition toward 0; training-only, no inference cost.	-0.0015	discard	1.082039	+0.003180	15986894	600.088000	730.912000	1449.000000	apg-loss-0009		First loss-domain trial. forward() now returns ce_loss + 1e-4*logsumexp(logits)^2.mean(). Rationale: (1) PaLM/Gemma/ST-MoE canonical choice α=1e-4; (2) logit_softcap=30 caps per-logit magnitude but log-Z can still drift ~±9 given vocab=8192, so z-loss provides a meaningful stabilization signal; (3) eval uses forward_logits→cross_entropy directly (lines 1165/1237/1536), bypassing forward(), so z-loss is strictly training-only and never contaminates val_bpb; (4) zero new params → no artifact-size impact. Expected val_bpb drop: 0.001–0.003 from better-conditioned logit geometry that persists through GPTQ int6 quantization (more uniform logit scale is typically friendlier to post-training quantization).
