exp_id	timestamp	specialist	parent_exp	baseline_exp	domain	hypothesis	expected_delta	status	val_bpb	delta_vs_best	artifact_bytes	train_s	eval_s	total_s	job_name	snapshot_path	notes
000	2026-05-03T03:04:04Z	baseline			baseline	generic-multi-agent baseline (PG 1.0810 SOTA stack, 10× generic)	0	baseline	1.081000								generic-multi-agent / PG 1.0810 reference
001	2026-05-03T03:34:25Z	gena	000	000	gena	Frequency-weighted GPTQ Hessians (top-100 tokens get 2× weight) plus halved damping (0.01→0.005) to reduce quantization error on common tokens that dominate BPB.	-0.004	eval_budget_overrun	1.080359			600.074000	603.200000	1502.000000	apgg-gena-0001		Freq-weighting: pre-collect 64 calib batches on CPU, compute token frequencies via bincount, apply sqrt(2) multiplier to top-100 token activations before addmm_ → 2× Hessian weight. Lower damping: 0.005 instead of 0.01 reduces Hessian regularization bias for more accurate Cholesky inversion. Both changes only affect GPTQ calibration, zero artifact size impact.
002	2026-05-03T03:36:25Z	genb	000	000	genb	Frequency-weighted GPTQ Hessian calibration: top-100 most frequent tokens receive sqrt(2) activation scaling (= 2x weight in H=X^TX), biasing GPTQ to minimize quantization error on common tokens that dominate BPB.	-0.010	eval_budget_overrun	1.080367			600.090000	604.600000	1519.000000	apgg-genb-0001		Two-pass collect_hessians: pass 1 collects 64 calibration batches and computes token frequency weights from their token IDs; pass 2 reruns with per-position activation scaling by freq_w[token_id]. Top-100 tokens by count get sqrt(2) multiplier (2x Hessian weight). Same calibration data, no architecture changes, no size impact.
003	2026-05-03T03:36:48Z	gend	000	000	gend	FreqGPTQ: bias GPTQ Hessian toward top-100 most-frequent tokens (sqrt(2) activation weight → 2× Hessian contribution) so quantization error is minimized on positions covering ~53% of text	-0.004	eval_budget_overrun	1.080495			600.145000	603.800000	1503.000000	apgg-gend-0001		Two-pass collect_hessians: pass 1 pre-collects all calibration batches + counts token frequencies; pass 2 replays batches with per-position frequency weights on activations before x.T @ x accumulation. Top-100 tokens get sqrt(2.0) weight. Based on technique from PR #1721 (freq-gptq-gated-deltanet). No architecture change, purely quantization calibration improvement.
004	2026-05-03T03:37:47Z	genh	000	000	genh	Frequency-weighted GPTQ Hessian calibration: top-100 most frequent tokens get sqrt(2) activation boost so H = X^T X is 2x heavier on high-frequency positions, biasing int6 quantization to minimize error on tokens that dominate validation BPB.	-0.005	eval_budget_overrun	1.080526			600.108000	603.900000	1511.000000	apgg-genh-0001		Pure quant calibration change: pre-collect 64 calib batches, compute token frequency counts, assign sqrt(2) weight to top-100 most frequent tokens during Hessian accumulation in collect_hessians(). No training change, no architecture change, no size impact. Based on PR #1721 freq-GPTQ technique, with the GDN-specific architecture stripped away.
005	2026-05-03T03:39:40Z	genc	000	000	genc	FreqGPTQ: frequency-weighted Hessian calibration (top-100 tokens get sqrt(2) activation boost → 2x Hessian weight) + lower GPTQ damping 0.01→0.005 to reduce quantization bias on high-frequency tokens and improve overall quant fidelity.	-0.005	eval_budget_overrun	1.080323			600.041000	603.100000	1505.000000	apgg-genc-0001		Two pure quantization improvements: (1) Frequency-weighted Hessians from PR #1721 technique — top-100 tokens cover ~53% of text, so boosting their Hessian contribution biases GPTQ toward minimizing error where it matters most. (2) Lower damping reduces Hessian regularization bias, letting the optimizer correct quantization error more precisely. Neither change affects training; both target the ~0.019 BPB gap between fp32 EMA and quantized model.
006	2026-05-03T03:39:55Z	genj	exp_000	000	genj	Reduce GPTQ Hessian damping 0.01→0.005 (less quantization bias) and add split MLP/attention weight decay in Muon (muon_wd_mlp=0.115 for MLP matrices, muon_wd=0.095 for attention matrices) as described in INIT.md SOTA stack.	-0.003	eval_budget_overrun	1.079828			600.151000	603.900000	1503.000000	apgg-genj-0001		Two complementary changes: (1) Lower GPTQ damping reduces Hessian regularization bias, giving more accurate int6 quantized weights. (2) Split MLP vs attention weight decay implements the muon_wd_mlp=0.115/muon_wd=0.095 split described in INIT.md as part of the SOTA stack but absent from baseline code — higher WD on MLP matrices provides better per-component regularization. Together expected ~0.002-0.004 BPB improvement.
007	2026-05-03T03:41:06Z	gene	exp_000	000	gene	FreqGPTQ: bias GPTQ Hessian toward top-100 most frequent tokens (sqrt(2) activation multiplier → 2x Hessian weight) to reduce quantization error on tokens that dominate BPB.	-0.008	eval_budget_overrun	1.080546			600.090000	604.200000	1508.000000	apgg-gene-0001		Technique from PR #1721. Phase-1 data scan (16 batches, no model forward) builds token frequency map; phase-2 applies per-position sqrt(2) activation weight for top-100 tokens during Hessian collection. Affects all CastedLinear and embedding Hessians. No change to training, only GPTQ calibration quality.
008	2026-05-03T03:41:42Z	geng	000	000	geng	Add SNOO (Step-K Nesterov Outer Optimizer, arXiv:2510.15830): a Lookahead-with-Nesterov wrapper around Muon+Adam that applies outer Nesterov momentum every K=20 inner steps using the pseudo-gradient (fast−slow parameter displacement), then resets fast weights to slow, amplifying persistent optimization directions for better convergence within the fixed 600s budget.	-0.005	eval_budget_overrun	1.091893			600.046000	603.500000	1509.000000	apgg-geng-0001		SNOO k=20, lr=0.5, momentum=0.7. Slow weights stored in float32 on GPU. All-GPU DDP sync still happens on inner steps so pseudo-gradients are consistent across ranks. Final outer step before EMA ensures last weights are at slow checkpoint. Paper shows 1.5-2.5x compute factor gains vs AdamW; gain over Muon may be smaller but still expected positive. No arch/quant changes — purely optimizer wrapper.
009	2026-05-03T03:41:47Z	genf	000	000	genf	Replace fixed Muon Newton-Schulz coefficients with Polar Express 5-step per-iteration minimax-optimal tuples (arxiv 2505.16932) and reduce GPTQ Hessian damping from 0.01 to 0.005 for better quantization fidelity.	-0.003	eval_budget_overrun	1.080478			600.060000	604.000000	1499.000000	apgg-genf-0001		Polar Express NS: per-iteration coefficients (8.157,-22.483,15.879),(4.043,-2.809,0.500),(3.892,-2.772,0.506),(3.286,-2.368,0.464),(2.347,-1.710,0.423) replace fixed (3.4445,-4.775,2.0315). Validated on FineWeb/GPT-2. GPTQ damping 0.01->0.005 from PR#1318 technique. Both changes are independent and complementary.
