exp_id	parent_exp	depth	path	specialist	status	val_bpb	delta_vs_best	hypothesis
000		0	000	baseline	baseline	1.081000		single-agent generalist baseline (PG 1.0810 SOTA stack)
001	000	1	000/001	generalist	eval_budget_overrun	1.080742		Add per-head attention output sigmoid gate (init +5.0 → ~0.993 transparent at step 0) on all 11 layers, allowing the model to dampen redundant heads — a missing component vs the documented multi_596 reference at 1.072.
002	000	1	000/002	generalist	eval_budget_overrun	1.080426		Freeze tok_emb during score-first TTT (tied embedding == output projection; per-chunk SGD on it overfits global vocab mapping to 32K-token windows).
003	002	2	000/002/003	generalist	keep	1.079370	-0.001630	Skip standalone quantized_sliding_window eval when TTT is enabled (TTT itself does sliding-window scoring; the standalone pass is purely diagnostic and redundant against a tight 600s budget) — combined with the freeze-tok_emb TTT change from exp_002.
004	003	3	000/002/003/004	generalist	keep	1.078965	-0.000405	Raise TTT cosine LR floor from 0 to 0.4·ttt_lr so late val chunks (where the model has accumulated useful drift toward val distribution) keep adapting at meaningful LR instead of freezing.
005	004	4	000/002/003/004/005	generalist	discard	1.079119	+0.000154	Switch TTT inner SGD from heavy-ball to Nesterov-accelerated momentum (nesterov=True). Across ~58K inner steps spanning 305 chunks at constant per-chunk LR, the lookahead update should converge faster per step at zero memory/compute cost.
006	004	4	000/002/003/004/006	generalist	discard	1.079535	+0.000570	Layer-wise LR decay for TTT inner SGD: layer i gets 0.85^(10-i)·ttt_lr (5× total span across depth) — concentrate per-chunk adaptation on later blocks where distribution shift mostly manifests, keep early-layer token features stable. Outer cosine schedule, momentum, and step count unchanged.
007	004	4	000/002/003/004/007	generalist	discard	1.079117	+0.000152	Add weight_decay=1e-4 to TTT SGD optimizer to mildly regularize cumulative drift across ~58K inner steps over 305 chunks; lr×wd=5e-7 per step gives ~3% pull-toward-zero washing out idiosyncratic per-chunk gradient noise while leaving persistent val-distribution signal intact.
008	004	4	000/002/003/004/008	generalist	discard	1.079404	+0.000439	Sharper GPTQ calibration: Hessian damp factor 0.01→0.005 and lazy-batch block_size 128→32 — together push the post-quant weights closer to the FP optimum since both knobs trade calibration robustness for fidelity, an underexplored surface in this lineage (TTT-tweaks 005/006/007 all discarded).
009	004	4	000/002/003/004/009	generalist	discard	1.083416	+0.004451	Add PaLM-style z-loss aux (coef 1e-4 · mean(logsumexp(logits)^2)) to training/TTT cross-entropy: bounds the softmax partition function, tightening logit dynamic range so downstream GPTQ int6 quantization noise is relatively smaller per-token; orthogonal to the saturated TTT-tuning thread.
010	004	4	000/002/003/004/010	generalist	discard	1.092456	+0.013491	Raise EMA_DECAY from 0.9965 to 0.999 (3.5× longer half-life: ~198 → ~693 steps) so end-of-training EMA averages a substantive slice of the 72% linear warmdown phase rather than only its tail — extracts more noise-reduction across late low-LR fine-tuning.
011	004	4	000/002/003/004/011	generalist	discard	1.094698	+0.015733	Reset SGD momentum buffer at each TTT chunk boundary (optimizer.state.clear() per chunk). The single optimizer instance carries momentum across all 305 heterogeneous val-text chunks, so each chunk inherits stale ~10-step-filtered gradient state from prior chunks' (different-topic) tokens — clean per-chunk local momentum should give a more accurate descent direction while preserving the cumulative param drift exp_004 confirmed helps.
012	004	4	000/002/003/004/012	generalist	discard	1.079635	+0.000670	Freeze attention Q/K/V projections (c_q, c_k, c_v) during TTT in addition to tok_emb — the routing matrices shouldn't drift on chunk-local 32K windows; let attn.proj+MLP+norms absorb per-chunk feature-space adaptation (TENT/FFN-adaptation thesis, same structural-freeze axis as the historically strongest exp_002 move).
013	004	4	000/002/003/004/013	generalist	discard	1.079233	+0.000268	Split TTT SGD into two param groups by ndim — 1D per-channel gates (q_gain, attn_out_gate, attn_scale, mlp_scale) get 5× ttt_lr (0.025), 2D matrix params keep 1× (0.005). Mirrors Muon's 1D-vs-2D separation in main training; uplifts the otherwise-sluggish gate scalars whose grad norms are ~100× smaller than matrices.
014	004	4	000/002/003/004/014	generalist	discard	1.081213	+0.002248	Apply eval-time temperature scaling T=1.05 to TTT score-first logits only (TTT training stays T=1.0): post-GPTQ-INT6 + score-first TTT can leave the softmax over-sharpened on chunk-local peaks, mild flattening recovers NLL on hard mid-tail tokens.
015	004	4	000/002/003/004/015	generalist	discard	1.081382	+0.002417	Position-weighted TTT loss: linear 0→1 ramp (mean-normalized) on per-token CE so the TTT inner SGD gradient is biased toward deep-context positions that match the sliding-window eval scoring (last 64/2048 positions per window have ~1984 tokens of context), instead of uniformly averaging over all 2048 positions including shallow-context ones whose distribution differs from the eval task.
016	004	4	000/002/003/004/016	generalist	discard	1.081424	+0.002459	Double ttt_chunk_tokens 32768 → 65536: halves SGD-step count and doubles per-step batch (LaCT-aligned), reducing TTT gradient noise and freeing all_reduce overhead while preserving cross-chunk momentum continuity (the dominant mechanism that exp_011 showed is +0.015 nats critical).
017	004	4	000/002/003/004/017	generalist	discard	1.146477	+0.067512	Switch TTT inner optimizer SGD-momentum→Adam (lr=5e-4, betas=(0.9, 0.95), eps=1e-8): per-param 2nd-moment normalization removes the heterogeneous-grad-magnitude problem that 12 SGD-family children of exp_004 left untouched (all near-noise — Nesterov, layer-LR, WD, momentum reset, ndim-split LR, freeze-QKV, pos-weighted loss, doubled chunks). β2=0.95 stabilizes v within ~20 steps for TTT-without-warmup; peak LR scaled 10× down to match SGD's effective step. Cosine floor 0.4 schedule preserved.
018	004	4	000/002/003/004/018	generalist	discard	1.079278	+0.000313	Replace stock Muon Newton-Schulz5 coefficients (3.4445,-4.775,2.0315) with the Polar Express per-iteration minimax tuples (arXiv:2505.16932) — first iteration gets a wide-spectrum kick (a=8.16,b=-22.48,c=15.88) and subsequent four iterations refine; better polar-factor approximation per backend_step → cleaner Muon update directions across ~700 training steps.
019	004	4	000/002/003/004/019	generalist	discard	1.079424	+0.000459	Freeze depth-recurrence loop bank (blocks 3-5) during TTT in addition to tok_emb — they get 3x training gradient signal (called 3x per forward) and per-chunk SGD on them perturbs all three use-positions simultaneously; SLOT-style freeze-the-bulk transposed onto recurrence topology.</hypothesis> </invoke>
020	004	4	000/002/003/004/020	generalist	eval_budget_overrun	1.097291		Linear ramp ttt_epochs 2→4 across chunks (rounded, total step count preserved) — reallocate inner-loop adaptation budget toward late chunks where the well-adapted starting state makes each SGD step more informative; continues exp_004's directional thesis (more late-chunk adaptation) by varying step count rather than step magnitude.
021	004	4	000/002/003/004/021	generalist	eval_budget_overrun	1.097283		Soft L2 anchor in TTT toward post-train W_0 (alpha=1e-3 per step, applied after each SGD step on non-tok_emb params): caps cumulative drift across ~75 TTT steps without resetting momentum (exp_011's failure) and without decaying toward 0 (exp_007's wrong target).
022	004	4	000/002/003/004/022	generalist	discard	1.079957	+0.000992	Soft L2 anchor in TTT toward post-train W_0, applied per-chunk (alpha=3e-3 once after each chunk's inner-epoch loop) — re-test of exp_021 with the lerp moved out of the per-step inner loop to eliminate ~10s eval overhead that DQ'd it; mathematically equivalent drift retention (0.997^24 ~ 0.93).
023	004	4	000/002/003/004/023	generalist	size_blocked	1.074688		Lower matrix_clip_sigmas from 12.85 → 8.5 (untouched axis): GPTQ SDClip int6 grid covers ±8.5σ instead of ±12.85σ → 1.51× finer step size → ~2.3× lower quantization noise variance for typical-magnitude weights, while saturation at 8.5σ remains rare for trained transformer weights.
024	004	4	000/002/003/004/024	generalist	discard	1.079896	+0.000931	Per-tensor sigma override: apply tight matrix_clip_sigmas=8.5 to attention output projections (.attn.proj.weight, ~12% of model bytes — highest per-byte residual-stream sensitivity) while keeping all other matrices at 12.85, plus loosen embed_clip_sigmas 20→30 to reclaim artifact budget — concentrates exp_023's -0.0043 signal on the most quant-noise-sensitive layers at ~0.18 MB inflation, offset by ~0.3-0.8 MB embed compression savings.
025	004	4	000/002/003/004/025	generalist	size_blocked	1.081744		Per-tensor SDClip σ allocation guided by super-weights literature (arXiv 2411.07191): tighten σ to 8.5 ONLY on.mlp.fc.weight (input proj, fanin=512, no super-weights), revert attn.proj σ to 12.85 (exp_024 confirmed residual-writer outliers must be preserved), loosen embed σ 30→50 to fund the compression bloat under the 16 MB cap.
026	004	4	000/002/003/004/026	generalist	eval_budget_overrun	1.096964		Set TTT inner-loop batch_seqs=1 (decoupled from scoring batch_seqs=32) so each chunk runs ~6 SGD steps (1 per minibatch × 2 minibatches × 3 epochs) instead of ~3 — doubles per-chunk adaptation drift via finer per-step granularity, extending exp_004's late-chunk-adaptation mechanism.
027	004	4	000/002/003/004/027	generalist	discard	1.079054	+0.000089	Pair inner_batch_seqs=1 (from exp_026) with ttt_epochs 3→2: total 4 inner SGD steps/chunk (+33% vs exp_004's 3) at smaller-batch granularity, while reclaiming ~57s eval to stay under the 600s cap that DQ'd exp_026.
028	004	4	000/002/003/004/028	generalist	size_blocked	1.078191		Tighten GPTQ SDClip σ from 12.85 → 8.5 on attention Q/K/V input projections (c_q, c_k, c_v) only — finer int6 grid where super-weights are absent (per Apple arXiv:2411.07191: super-weights live in mlp.proj, not QKV); localizes exp_023's proven -0.0043 mechanism to the smallest, safest substrate while staying within budget
029	004	4	000/002/003/004/029	generalist	discard	1.079075	+0.000110	Shuffle TTT inner-loop batch order each of the 3 epochs (chunk-seeded RNG) so SGD updates see decorrelated, closer-to-IID samples instead of three sequential scans through highly auto-correlated within-chunk text — same step count, lower gradient-noise variance.
030	004	4	000/002/003/004/030	generalist	discard	1.079480	+0.000515	Move enable_looping_at 0.35→0.25 — depth-recurrent loop bank (blocks 3-5, invoked 3× per forward pass) activates 10% earlier in training, raising recurrent-mode training fraction from 65%→75% so blocks 3-5 specialize longer for the 3×-invocation regime they perform at eval.
031	004	4	000/002/003/004/031	generalist	size_blocked	1.074902		Per-row MSE-optimal σ in GPTQ SDClip: replace uniform σ=12.85 with a 5-point grid search around the input clip_sigmas ([cs-4, cs-2.5, cs-1, cs, cs+1.5]) per row, picking the σ that minimizes round-to-nearest reconstruction MSE for that row before GPTQ's column error correction.
032	004	4	000/002/003/004/032	generalist	size_blocked	1.079047		Disable Muon momentum warmup (MUON_MOMENTUM_WARMUP_FRACTION 0.33→0.0): full muon_momentum=0.99 from step 0 instead of ramping 0.92→0.99 over the first 200s/1500 steps, recovering early gradient direction information that Muon's polar-factor update accumulates over time.
033	004	4	000/002/003/004/033	generalist	size_blocked	1.081242		Focal-weighted CE in TTT inner SGD only (gamma=0.5, detached): replace uniform mean CE with weighted mean using w=(1-p_target)^0.5; concentrates SGD signal on high-loss positions where most BPB lives.</hypothesis> <parameter name="notes">TTT inner SGD step only; score-first and training unchanged. Untouched axis vs 28 children of exp_004.
034	004	4	000/002/003/004/034	generalist	size_blocked	1.078817		Tighten embed_clip_sigmas 20.0->12.0: tied tok_emb doubles as logit-head output projection (4.2M params, ~30% of model); halving sigma on int8 SDClip grid doubles bulk-region resolution where most weights live, lowering quant error in logit space at every output position.
035	004	4	000/002/003/004/035	generalist	size_blocked	1.128679		Add label_smoothing=0.1 to TTT inner-SGD CE only (scoring + training CE unchanged): regularizes the 3-epoch per-chunk adaptation against overfitting to chunk-local token distributions, which damages cross-chunk generalization (scoring is on the NEXT chunk's tokens). Untried in lineage; orthogonal to z-loss/focal/W_0-anchor failures (those changed training or fought cumulative drift).
036	004	4	000/002/003/004/036	generalist	discard	1.079311	+0.000346	TTT epoch ramp-up at chunk start
037	004	4	000/002/003/004/037	generalist	eval_budget_overrun	1.097464		Halve ttt_chunk_tokens 32768->16384: doubles number of score-then-adapt cycles for finer TTT adaptation cadence. exp_016 doubled to 65536 (+0.0024 worse) shows the gradient direction.
038	004	4	000/002/003/004/038	generalist	eval_budget_overrun	1.097462		Freeze very-small-numel per-head control gains (q_gain [H=8], attn_out_gate [H=8]) during TTT inner SGD in addition to tok_emb — routing topology is well-tuned by 600s training, and ~58K inner steps over chunk-local val distributions would drift these 8-element vectors enough to perturb head-routing without proportional benefit; matrix weights and per-channel scales (attn_scale/mlp_scale/resid_mix at dim=512) still adapt as before.
039	004	4	000/002/003/004/039	generalist	discard	1.081077	+0.002112	Reduce warmdown_frac 0.72 to 0.5 (WSD-leaning schedule).
040	004	4	000/002/003/004/040	generalist	discard	1.079457	+0.000492	Raise ttt_momentum 0.9 -> 0.95: doubles effective cross-chunk averaging window (1/(1-m): 10 -> 20 steps), amplifying the cross-chunk momentum-carryover mechanism that exp_011 proved is worth ~0.015 nats (resetting it regressed -0.015). Untouched coefficient axis among 35 children of exp_004.
041	004	4	000/002/003/004/041	generalist	size_blocked	1.079350		QuaRot-style Hadamard rotation of every non-embed weight's input axis before GPTQ (W' = W @ H, transformed Hessian H' = H_R^T @ H_orig @ H_R, un-rotated at dequant via deq @ H since normalized Sylvester Hadamard is symmetric-orthogonal): the orthogonal rotation maps each weight row to a near-Gaussian distribution (kurtosis ~3) by spreading outlier energy across input dims, redistributing the GPTQ column-correction bias away from input-aligned directions; row_std preserved so the int6 grid step is unchanged.
042	004	4	000/002/003/004/042	generalist	discard	1.079288	+0.000323	Per-epoch cosine-with-0.4-floor LR decay within each chunk's TTT inner-SGD (epoch 0:1.0× → epoch 2:0.4× of cos_lr) — finer-granularity analogue of exp_004's across-chunk LR floor, dampens late-epoch overfit on chunk-local statistics while keeping epoch 0 at full cos_lr.
043	004	4	000/002/003/004/043	generalist	discard	1.079498	+0.000533	Skip diagnostic non-TTT eval_val passes (pre-quantization post-ema and quantized non-sliding) when TTT is enabled; extends exp_003's redundant-eval-skip mechanism by removing the two remaining non-metric eval passes (~40-70 s of compile + run that the harness never reads), reducing eval_budget_overrun variance.
044	004	4	000/002/003/004/044	generalist	discard	1.079286	+0.000321	Tighten TTT inner-loop grad_clip_norm 1.0 to 0.3 to regime-match training-time clip
045	004	4	000/002/003/004/045	generalist	eval_budget_overrun	1.097095		LookAhead per-chunk Polyak blend in TTT inner SGD: snapshot pre-adapt weights, blend 75%·post + 25%·pre after each chunk's 3-epoch SGD pass. Caps cumulative per-chunk drift toward chunk-local stats (untouched axis — prior 40 children of exp_004 only tweaked per-step LR/momentum/clip/freeze-list, never the magnitude of accepted drift). Complementary to exp_004's across-chunk LR-floor cosine.
046	004	4	000/002/003/004/046	generalist	eval_budget_overrun	1.095948		Add min_lr=0.1 floor to training warmdown schedule.
047	004	4	000/002/003/004/047	generalist	keep	1.078023	-0.000942	Raise TTT cosine LR floor 0.4→0.7: exp_004 proved 0→0.4 helps via more late-chunk drift; pushing 0.7 along same monotonic direction tests whether the slope continues (predicted ~-0.0003) or hits a hump (slight regression).
048	047	5	000/002/003/004/047/048	generalist	keep	1.078012	-0.000011	Push TTT cosine LR floor 0.7→1.0 (= constant LR per chunk): tests asymptote of the now-confirmed super-linear monotonic axis (0→0.4: -0.000405; 0.4→0.7: -0.000942). All chunks adapt at full h.ttt_lr; momentum carryover provides the only cross-chunk smoothing.
049	048	6	000/002/003/004/047/048/049	generalist	discard	1.078157	+0.000145	Raise ttt_lr from 0.005 to 0.0065 to test the asymptote of the monotone more-drift gradient now that cosine floor saturated at 1.0.
050	048	6	000/002/003/004/047/048/050	generalist	discard	1.078109	+0.000097	Selective TTT: freeze blocks.0-2 in addition to tok_emb during score-first TTT (BitFit/TENT-style shallow freeze) — universal subword features stay fixed, deeper stack drifts more aggressively under saturated cosine LR-floor=1.0 regime.
051	048	6	000/002/003/004/047/048/051	generalist	discard	1.228919	+0.150907	Swap TTT SGD+momentum for AdamW (lr=1e-3, betas=(0.9,0.95), wd=0): TTT-LR axis saturated (049 ttt_lr↑ regressed, 048 floor=1.0 saturated); per-tensor adaptive scaling is structurally orthogonal to global-LR tweaks and PR #771 shows AdamW TTT recovers quantization damage better than flat SGD.
052	048	6	000/002/003/004/047/048/052	generalist	discard	1.228937	+0.150925	Halve GPTQ Hessian damping factor 0.01→0.005: reduces Hinv regularization bias for tighter OBQ error compensation; zero byte cost since shape/dtype unchanged and brotli sees near-identical int distribution.
053	048	6	000/002/003/004/047/048/053	generalist	discard	1.078101	+0.000089	Per-layer TTT LR groups: mlp.proj × 2.0 (most GPTQ-damaged matrix), mlp.fc × 0.5 (less damaged input proj throttled for stability), others × 1.0 — concentrates TTT adaptation budget on the MLP down-projection which carries the largest int6 reconstruction error, scaling cosine-LR multiplier per param group.
054	048	6	000/002/003/004/047/048/054	generalist	eval_budget_overrun	1.080020		Split Muon weight decay: MLP matrices use muon_wd_mlp=0.115 vs non-MLP matrices muon_wd=0.095, matching the SOTA seed description that specifies this split but which was absent from the actual code.
055	048	6	000/002/003/004/047/048/055	generalist	discard	1.078169	+0.000157	FreqGPTQ: bias GPTQ Hessian calibration toward high-frequency tokens — pre-fetch all 64 calibration batches, count token frequencies, give top-100 most-frequent tokens a sqrt(2) activation multiplier so their contribution to H=X^T X is 2×, directing GPTQ error-correction budget toward tokens that dominate BPB.
056	048	6	000/002/003/004/047/048/056	generalist	keep	1.077861	-0.000151	Replace linear LR warmdown with cosine decay (same endpoints: 1.0→min_lr=0.1), keeping LR higher for longer in mid-warmdown to give more gradient signal when depth-recurrence activates at frac≈0.35, then a steeper final convergence.
057	056	7	000/002/003/004/047/048/056/057	generalist	eval_budget_overrun	1.096051		Implement bifurcated QK-gain [H,2]: separate learnable per-head Q scale for RoPE dims (col-0, positional) vs NoPE dims (col-1, content), as described in the seed stack but never actually implemented — the prior code used a single [H] gain applying one scalar uniformly across all 64 head dims.
058	057	8	000/002/003/004/047/048/056/057/058	generalist	eval_budget_overrun	1.096606		Bifurcated QK-gain [H,2] with efficient implementation: build gain as [H,head_dim] via expand+cat on the small [H,D] tensor (zero-copy expand), then single q*gain multiplication — same FLOPs as original [H] gain but allows separate per-head scales for RoPE-encoded dims (col-0) vs NoPE content dims (col-1).
059	056	7	000/002/003/004/047/048/056/059	generalist	discard	1.078510	+0.000649	Increase partial RoPE coverage from rope_dims=16 to rope_dims=32 (25%→50% of head_dim=64): doubles positional encoding signal per attention head without adding parameters, changing weight shapes, or adding eval overhead (apply_rotary_emb already cat-splices for partial RoPE at the same op count regardless of rope_dims size).
060	056	7	000/002/003/004/047/048/056/060	generalist	crash			Add learned per-iteration additive biases (loop_iter_bias, shape [3,512], zero-init) injected at the start of each depth-recurrence loop iteration — enables the model to differentiate iter-0/1/2 passes through blocks 3-5, analogous to Universal Transformer depth-position encoding.
061	056	7	000/002/003/004/047/048/056/061	generalist	discard	1.078097	+0.000236	Reduce GPTQ error-compensation block_size from 128 to 32: smaller blocks mean more frequent cross-column error propagation within each Hinv update step, matching the multi_596 seed description (which specifies block_size=32) and the general GPTQ principle that finer granularity reduces quantization error.
062	056	7	000/002/003/004/047/048/056/062	generalist	eval_budget_overrun	1.096298		Increase GPTQ block_size from 128 to 256: exp_061 showed 32 < 128 (larger blocks capture more inter-column OBQ correlation), so testing whether 256 continues the improvement with even longer within-block lookahead.
063	056	7	000/002/003/004/047/048/056/063	generalist	eval_budget_overrun	1.096382		Split Muon weight decay into two param groups: attn matrices use muon_wd=0.095, MLP matrices use muon_wd_mlp=0.115 — matching the SOTA seed description's intended configuration, providing stronger regularization on wider MLP weights to reduce their equilibrium magnitude and post-GPTQ quantization error.
064	056	7	000/002/003/004/047/048/056/064	generalist	eval_budget_overrun	1.096965		Activate depth recurrence earlier: enable_looping_at 0.35→0.25, giving the 17-layer looped architecture 10% more of the 600s training wall-time (75% vs 65%) for more gradient updates in the effective-depth configuration.
065	056	7	000/002/003/004/047/048/056/065	generalist	eval_budget_overrun	1.096873		Cache deserialized quant state between the two deserialize() calls (skips second brotli decompression + torch.load, saving ~4-7s eval time) AND activate depth recurrence earlier (enable_looping_at 0.35→0.25) for more training in the looped configuration.
066	056	7	000/002/003/004/047/048/056/066	generalist	eval_budget_overrun	1.096920		Recover eval budget headroom with three changes on exp_056: (1) cache quant_state between two deserialize() calls (saves ~4s brotli decomp+torch.load), (2) reduce GPTQ calibration 64→48 batches (saves ~4s, Hessian still 6× oversampled for 2048-col matrices), (3) enable_looping_at 0.35→0.25 for quality.
067	056	7	000/002/003/004/047/048/056/067	generalist	eval_budget_overrun	1.108562		Full-training per-row STE int6 QAT in CastedLinear (clip_sigma=12.85, clip_range=31, always-on from step 0) regularizes weights toward the GPTQ quantization grid throughout training, reducing post-GPTQ performance degradation; eval restructure skips diagnostic first deserialize+eval_val when TTT enabled to recover ~12-20s of eval budget.
068	056	7	000/002/003/004/047/048/056/068	generalist	eval_budget_overrun	1.086259		Revert QAT (hurt training quality in exp_067), keep eval budget fix (skip diagnostic 'quantized' non-TTT eval when TTT enabled, saving ~30s), and increase muon_backend_steps 5→7 for tighter Newton-Schulz polar factor convergence in Muon.
069	056	7	000/002/003/004/047/048/056/069	generalist	discard	1.078814	+0.000953	Skip ALL diagnostic eval passes (pre-quant dynamo-reset+compile ~35s + intermediate quantized deserialize+eval ~15s) in the TTT path to save ~50s on a environment running ~39s slow; also muon_backend_steps 5→7 for better Newton-Schulz convergence.
070	056	7	000/002/003/004/047/048/056/070	generalist	eval_budget_overrun			Muon WD split (attn/other=0.095, MLP=0.115 matching seed-stack description) + fix dynamo reset order to before GPTQ serialize (clean eager-mode Hessian calibration, recovers exp_069 regression).
071	056	7	000/002/003/004/047/048/056/071	generalist	eval_budget_overrun			Muon WD split (attn=0.095, MLP=0.115) + dynamo reset before GPTQ + reduce calibration batches 64→32 to save ~8s eval time and stay within budget on the slow environment.
072	056	7	000/002/003/004/047/048/056/072	generalist	discard	1.078124	+0.000263	Compile TTT adaptation forward (base_model→compiled_ttt_model) to speed up the eager adaptation loop, saving ~40-70s eval time net of second compile overhead; also Muon WD split (attn=0.095, MLP=0.115).
073	072	8	000/002/003/004/047/048/056/072/073	generalist	eval_budget_overrun			muon_backend_steps 5→7 for tighter Newton-Schulz polar factor convergence in Muon, on top of exp_072's working eval stack (compiled TTT, Muon WD split, eval timing fixes).
074	056	7	000/002/003/004/047/048/056/074	generalist	discard	1.078544	+0.000683	Replace fixed Newton-Schulz coefficients (3.4445, -4.775, 2.0315) with per-iteration Polar Express minimax-optimized tuples (Epperly et al. arXiv:2505.16932, 2025): 5 optimized steps then asymptotic (1.875,-1.25,0.375) for steps 6-7, giving higher-quality polar factor orthogonalization per Muon step and thus better gradient updates throughout training.
