exp_id	parent_exp	depth	path	specialist	status	core_metric	delta_vs_best	hypothesis
000		0	000	baseline	baseline	0.161800		calibrated baseline (1 trial, avg=0.161800)
001	000	1	000/001	sched	discard	0.159600	-0.002200	Couple weight decay to LR multiplier (WD ∝ LR) instead of independent cosine-to-zero decay, maintaining T_epoch = B/(η·λ·D) consistency throughout training.
002	000	1	000/002	arch	discard	0.159700	-0.002100	Replace relu^2 MLP (4x, hidden=3072) with SwiGLU (8/3x, hidden=2048) — parameter-neutral swap using SiLU-gated MLP, same init scheme.
003	000	1	000/003	opt	discard	0.159900	-0.001900	Increase Muon NorMuon variance-reduction beta2 from 0.9 to 0.95, matching the NorMuon paper recommendation for smoother per-neuron adaptive rates.
004	000	1	000/004	sys	discard	0.144400	-0.017400	Enable FP8 training (--fp8 flag) to use cuBLAS FP8 tensorwise dynamic scaling on GPU; same training steps as BF16 baseline, ~1.3-1.5x faster per step, d12 dims (≥768) all above the 128-filter threshold so all eligible layers convert.
005	000	1	000/005	data	discard	0.156100	-0.005700	Recover ~35% discarded tail tokens in BOS-bestfit packing: when cropping a document to fill a row, prepend BOS to the tail and return it to the buffer instead of discarding it, giving the model more unique training text per compute step.
006	000	1	000/006	sched	discard	0.160500	-0.001300	Cosine LR warmdown (replaces linear) + revert WD to cosine decay: cosine warmdown spends more time near peak LR early (≈0.86 vs 0.76 at 75% through warmdown), while reverting exp_001's harmful WD∝LR back to cosine-to-zero decay.
007	000	1	000/007	sys	keep	0.169500	+0.007700	Switch --window-pattern from SSSL to L: with PyTorch SDPA (no FA3 on environment), any sliding-window mask forces the slow math backend; only is_causal=True (enabled by L) uses the Flash SDPA kernel. 9/12 SSSL layers were on math backend; L puts all 12 on Flash (~3-5x faster attention). Also reverts FP8 (exp_004 degraded quality by -0.017). More context per step may improve convergence quality too.
011	007	2	000/007/011	opt	discard	0.135000	-0.034500	Adopt window-pattern=L (matching exp_007 best), revert lm_head betas to (0.8,0.96) (undo exp_008's harmful change), and fix x0_lambdas betas from (0.96,0.95) to (0.9,0.99): the original beta1>beta2 caused effective-LR to spike ~5.6x at step 1, destabilizing x0 blending in early training.
012	007	2	000/007/012	arch	discard	0.153800	-0.015700	Switch head-dim 128→64 (6 heads→12 heads, FLOP/param-neutral): more attention head diversity at 110M scale, matching GPT-2's head structure. Also aligns workdir to exp_007 state (window-pattern L, softcap 15, 0.4x c_fc init).
013	007	2	000/007/013	sched	discard	0.160600	-0.008900	Delay Muon WD decay to warmdown phase only: keep WD constant at WD_scaled during warmup+constant-LR, then cosine-decay to 0 during warmdown. Current cosine-over-all-training loses ~27% WD before warmdown even starts; this gives full regularization while LR is at peak, then relaxes WD together with LR during warmdown.
014	007	2	000/007/014	opt	discard	0.162800	-0.006700	Revert x0_lambdas betas (0.9,0.99)→(0.96,0.95) to fix exp_011's -0.035 regression; also zero resid_lambdas weight_decay (was 0.05, decaying residual-scale factors toward 0 by ~25% over training).
015	007	2	000/007/015	arch	discard	0.166000	-0.003500	Parallel residuals (PaLM-style): share pre-norm and add attn + MLP simultaneously instead of sequentially. Also reverts head_dim 64→128 (undoes discarded exp_012). Saves one RMSNorm per block, both sublayers see the same normalized input for cleaner gradient flow; c_proj zero-init keeps training start identical to sequential.
016	007	2	000/007/016	sched	discard	0.163100	-0.006400	Revert WD to cosine-over-all (undo exp_013's harmful constant+warmdown-cosine) + hold Muon momentum constant at 0.97 during warmdown (no 0.97→0.90 decay): LR already decays 65% of training; simultaneous momentum decay reduces gradient history, adding noise when smooth convergence is needed.
017	007	2	000/007/017	arch	discard	0.164100	-0.005400	Replace relu² MLP with SwiGLU (8/3 × hidden = 2048, same params as 4 × 768 relu²) on top of exp_007 base (sequential pre-norm, window-pattern=L). SwiGLU is dominant in modern LLMs; exp_002 tried it on SSSL (slow math backend) and got -0.002, but with L pattern all attention is on fast Flash SDPA so training dynamics differ.
018	007	2	000/007/018	opt	discard	0.156400	-0.013100	Restore resid_lambdas WD=0.05 (exp_014 wrongly zeroed it; exp_007 best had 0.05) + reduce Muon NorMuon beta2 0.9→0.85 for faster variance adaptation during the long warmdown phase
019	007	2	000/007/019	sched	discard	0.155800	-0.013700	True D2Z: reduce final-lr-frac from 0.05 to 0.0 — linear decay all the way to zero LR, backed by arxiv 2502.15938 showing D2Z consistently achieves lower loss than leaving a residual fraction at the end.
020	007	2	000/007/020	sys	keep	0.202900	+0.033400	Exploit window=L speedup: increase --target-param-data-ratio from 12 to 100, training 8x more tokens within the 90 min wall budget. exp_007 (ratio=12, window=L) finished in only 9 min; scaling to ratio=100 gives ~60 min total — well within budget. More training tokens (8x Chinchilla) directly improves CORE metric.
024	020	3	000/007/020/024	sys	keep	0.213900	+0.011000	Push ratio from 100→130 (30% more tokens), using remaining wall budget. exp_020 (ratio=100) ran in 61 min; ratio=130 estimated ~80 min, within the 90 min cap. Continuing to exploit the efficient window=L Flash-SDPA path for maximum CORE metric improvement.
029	024	4	000/007/020/024/029	sys	discard	0.202100	-0.022000	Push ratio 130→150 (+15% tokens) by freeing wall budget via: (a) device-batch-size 32→64 reducing grad_accum 2→1 (~2-4% throughput gain), (b) disabling mid-training BPB evals (eval-every=-1), (c) skipping ~7 mid-training CORE evals (core-metric-every=99999, final CORE still fires at last_step=True). Explicit total-batch-size=1048576 avoids divisibility assert.
034	024	4	000/007/020/024/034	sys	discard	0.210500	-0.013600	Disable mid-training evals (eval-every=-1, core-metric-every=99999) to reclaim ~17 min of overhead, then use that budget to push ratio 130→170 (+31% tokens). exp_029 revealed auto batch=524K for d12; without evals, ratio=150 at batch=524K costs ~73 min; ratio=170 estimated ~85 min total (final CORE at last_step still fires via last_step=True).
025	020	3	000/007/020/025	sched	keep	0.224100	+0.010200	Push --target-param-data-ratio from 100→130 on top of exp_020 (window=L, ratio=100, 0.2029): 30% more training tokens within the 90-min budget. For d12 D_REF==target_tokens so batch size stays 2^19; num_iterations scales linearly to ~27,274 steps. Estimated wall ~78 min (safe). More tokens should directly improve CORE metric further along the still-improving loss curve.
030	025	4	000/007/020/025/030	sched	discard	0.192400	-0.031700	Align LR warmup with Muon momentum warmup: increase --warmup-steps from 40 to 400. At ratio=130 (~27,274 steps), 40-step warmup is only 0.15% of training (was 1.6% at ratio=12). Steps 40-400 currently have full LR but still-ramping Muon momentum (0.85→0.97 over hardcoded 400 steps) — a 360-step LR/momentum mismatch. Setting warmup=400 aligns both, provides standard ~1.5% warmup, and should reduce early-training instability from mismatched optimizer state.
