exp_id	parent_exp	depth	path	specialist	status	val_bpb	delta_vs_best	hypothesis
000		0	000	baseline	baseline	1.081000		generic-multi-agent baseline (PG 1.0810 SOTA stack, 10× generic)
001	000	1	000/001	gena	eval_budget_overrun	1.080359		Frequency-weighted GPTQ Hessians (top-100 tokens get 2× weight) plus halved damping (0.01→0.005) to reduce quantization error on common tokens that dominate BPB.
002	000	1	000/002	genb	eval_budget_overrun	1.080367		Frequency-weighted GPTQ Hessian calibration: top-100 most frequent tokens receive sqrt(2) activation scaling (= 2x weight in H=X^TX), biasing GPTQ to minimize quantization error on common tokens that dominate BPB.
003	000	1	000/003	gend	eval_budget_overrun	1.080495		FreqGPTQ: bias GPTQ Hessian toward top-100 most-frequent tokens (sqrt(2) activation weight → 2× Hessian contribution) so quantization error is minimized on positions covering ~53% of text
004	000	1	000/004	genh	eval_budget_overrun	1.080526		Frequency-weighted GPTQ Hessian calibration: top-100 most frequent tokens get sqrt(2) activation boost so H = X^T X is 2x heavier on high-frequency positions, biasing int6 quantization to minimize error on tokens that dominate validation BPB.
005	000	1	000/005	genc	eval_budget_overrun	1.080323		FreqGPTQ: frequency-weighted Hessian calibration (top-100 tokens get sqrt(2) activation boost → 2x Hessian weight) + lower GPTQ damping 0.01→0.005 to reduce quantization bias on high-frequency tokens and improve overall quant fidelity.
008	000	1	000/008	geng	eval_budget_overrun	1.091893		Add SNOO (Step-K Nesterov Outer Optimizer, arXiv:2510.15830): a Lookahead-with-Nesterov wrapper around Muon+Adam that applies outer Nesterov momentum every K=20 inner steps using the pseudo-gradient (fast−slow parameter displacement), then resets fast weights to slow, amplifying persistent optimization directions for better convergence within the fixed 600s budget.
009	000	1	000/009	genf	eval_budget_overrun	1.080478		Replace fixed Muon Newton-Schulz coefficients with Polar Express 5-step per-iteration minimax-optimal tuples (arxiv 2505.16932) and reduce GPTQ Hessian damping from 0.01 to 0.005 for better quantization fidelity.
011	000	1	000/011	gena	eval_budget_overrun	1.080982		FreqGPTQ: top-100 tokens get 2× Hessian weight via single pilot batch (no pre-collection overhead) + halved GPTQ damping (0.01→0.005), improving quantization fidelity for common tokens.
014	000	1	000/014	genb	eval_budget_overrun	1.085102		Z-loss training regularization: add 1e-4 * mean(logsumexp(logits)^2) to cross-entropy in forward(), stabilizing logit magnitudes during training with zero eval overhead to avoid budget overrun.
015	000	1	000/015	genh	eval_budget_overrun	1.080425		Combine freq-weighted GPTQ (sqrt2 boost top-100 tokens, CPU-stored batches to cut GPU pressure), GPTQ damping 0.01→0.005, and split Muon WD (attn=0.095 vs MLP=0.115) to improve both quantization fidelity and training regularization.
016	000	1	000/016	genf	eval_budget_overrun	1.080178		Polar Express NS coefficients + GPTQ damping 0.01→0.005, with calibration batches reduced 64→56 to recover the 4s eval overrun seen in exp_009.
017	000	1	000/017	geng	eval_budget_overrun	1.080362		SNOO outer Nesterov step disabled during warmdown phase (frac >= 0.28): prevents stale momentum buffer from interfering with LR-decay fine-tuning; SNOO only active during stable training phase (~28% of budget, ~168s).
018	000	1	000/018	genc	eval_budget_overrun	1.080525		FreqGPTQ (top-100 tokens 2x Hessian weight) + GPTQ damping 0.005 + TTT freeze first 2 blocks to reduce overfitting and save ~15% TTT backward time; GPU-resident calibration batches to avoid prior eval overrun.
019	000	1	000/019	gend	eval_budget_overrun	1.080374		Replace TTT optimizer from SGD (lr=0.005, momentum=0.9) with AdamW (lr=0.001, betas=(0.9,0.999)) — adaptive per-parameter LR should converge more efficiently within the 3-epoch per-chunk window
022	000	1	000/022	genb	eval_budget_overrun	1.084295		Z-loss training regularization (1e-4 * logsumexp^2) plus gptq_calibration_batches reduced 64→48 to create ~10s eval headroom against environment jitter (prior run overran by only 3.8s with no eval-side changes).
